FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 17:00:51,14/01/2026 17:20:50,0:19:59,0:00:10,330,121,219,Save 1
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 17:01:02,0.4076 A DC,0.3383 A DC,0.2022 A DC,14/01/2026 17:00:53,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
113,0.3614 A DC,14/01/2026 17:06:23.3,0:00:00.6,14/01/2026 17:06:23.5,0.3627 A DC,0.3479 A DC,14/01/2026 17:06:23.7,0.3342 A DC,Unstable,14/01/2026 17:06:23.9
114,0.3403 A DC,14/01/2026 17:06:23.9,0:00:02.2,14/01/2026 17:06:26.0,0.3483 A DC,0.3387 A DC,14/01/2026 17:06:25.5,0.3337 A DC,Stable,14/01/2026 17:06:26.1
115,0.3653 A DC,14/01/2026 17:06:26.1,0:00:00.8,14/01/2026 17:06:26.8,0.3960 A DC,0.3533 A DC,14/01/2026 17:06:26.6,0.3345 A DC,Unstable,14/01/2026 17:06:26.9
116,0.3438 A DC,14/01/2026 17:06:26.9,0:00:02.3,14/01/2026 17:06:27.2,0.3519 A DC,0.3381 A DC,14/01/2026 17:06:27.9,0.3320 A DC,Stable,14/01/2026 17:06:29.3
117,0.3682 A DC,14/01/2026 17:06:29.3,0:00:00.1,14/01/2026 17:06:29.3,0.3682 A DC,0.3682 A DC,14/01/2026 17:06:29.3,0.3682 A DC,Unstable,14/01/2026 17:06:29.4
118,0.3427 A DC,14/01/2026 17:06:29.4,0:00:01.2,14/01/2026 17:06:29.5,0.3430 A DC,0.3373 A DC,14/01/2026 17:06:29.7,0.3336 A DC,Interval,14/01/2026 17:06:30.6
119,0.3456 A DC,14/01/2026 17:06:30.6,0:00:09.9,14/01/2026 17:06:40.0,0.3512 A DC,0.3396 A DC,14/01/2026 17:06:35.7,0.3284 A DC,Interval,14/01/2026 17:06:40.4
120,0.3433 A DC,14/01/2026 17:06:40.4,0:00:10.1,14/01/2026 17:06:42.5,0.3596 A DC,0.3407 A DC,14/01/2026 17:06:50.4,0.3329 A DC,Interval,14/01/2026 17:06:50.5
121,0.3392 A DC,14/01/2026 17:06:50.5,0:00:08.8,14/01/2026 17:06:57.2,0.3520 A DC,0.3392 A DC,14/01/2026 17:06:50.9,0.3313 A DC,Stable,14/01/2026 17:06:59.2
122,0.3539 A DC,14/01/2026 17:06:59.2,0:00:01.2,14/01/2026 17:06:59.2,0.3539 A DC,0.3393 A DC,14/01/2026 17:07:00.1,0.3349 A DC,Interval,14/01/2026 17:07:00.5
123,0.3465 A DC,14/01/2026 17:07:00.5,0:00:10.0,14/01/2026 17:07:06.4,0.3516 A DC,0.3389 A DC,14/01/2026 17:07:01.1,0.3317 A DC,Interval,14/01/2026 17:07:10.4
124,0.3445 A DC,14/01/2026 17:07:10.4,0:00:10.5,14/01/2026 17:07:19.4,0.3592 A DC,0.3400 A DC,14/01/2026 17:07:14.5,0.3319 A DC,Interval,14/01/2026 17:07:20.9
125,0.3444 A DC,14/01/2026 17:07:20.9,0:00:05.2,14/01/2026 17:07:23.9,0.3557 A DC,0.3395 A DC,14/01/2026 17:07:21.8,0.3324 A DC,Stable,14/01/2026 17:07:26.1
126,0.3667 A DC,14/01/2026 17:07:26.1,0:00:00.9,14/01/2026 17:07:26.9,0.3670 A DC,0.3451 A DC,14/01/2026 17:07:26.3,0.3339 A DC,Unstable,14/01/2026 17:07:27.0
127,0.3403 A DC,14/01/2026 17:07:27.0,0:00:02.2,14/01/2026 17:07:27.5,0.3504 A DC,0.3402 A DC,14/01/2026 17:07:27.8,0.3338 A DC,Stable,14/01/2026 17:07:29.2
128,0.3697 A DC,14/01/2026 17:07:29.2,0:00:00.1,14/01/2026 17:07:29.2,0.3697 A DC,0.3697 A DC,14/01/2026 17:07:29.2,0.3697 A DC,Unstable,14/01/2026 17:07:29.3
129,0.3492 A DC,14/01/2026 17:07:29.3,0:00:01.1,14/01/2026 17:07:29.5,0.3620 A DC,0.3451 A DC,14/01/2026 17:07:30.0,0.3351 A DC,Interval,14/01/2026 17:07:30.4
130,0.3446 A DC,14/01/2026 17:07:30.4,0:00:10.0,14/01/2026 17:07:34.3,0.3497 A DC,0.3375 A DC,14/01/2026 17:07:31.4,0.3267 A DC,Interval,14/01/2026 17:07:40.4
131,0.3363 A DC,14/01/2026 17:07:40.4,0:00:06.9,14/01/2026 17:07:43.7,0.3539 A DC,0.3395 A DC,14/01/2026 17:07:44.1,0.3332 A DC,Stable,14/01/2026 17:07:47.3
132,0.3733 A DC,14/01/2026 17:07:47.3,0:00:00.1,14/01/2026 17:07:47.3,0.3733 A DC,0.3733 A DC,14/01/2026 17:07:47.3,0.3733 A DC,Unstable,14/01/2026 17:07:47.4
133,0.3444 A DC,14/01/2026 17:07:47.4,0:00:03.0,14/01/2026 17:07:50.3,0.3481 A DC,0.3373 A DC,14/01/2026 17:07:48.6,0.3325 A DC,Interval,14/01/2026 17:07:50.5
134,0.3370 A DC,14/01/2026 17:07:50.5,0:00:04.5,14/01/2026 17:07:52.0,0.3504 A DC,0.3400 A DC,14/01/2026 17:07:53.6,0.3321 A DC,Stable,14/01/2026 17:07:55.0
135,0.3638 A DC,14/01/2026 17:07:55.0,0:00:00.1,14/01/2026 17:07:55.0,0.3638 A DC,0.3638 A DC,14/01/2026 17:07:55.0,0.3638 A DC,Unstable,14/01/2026 17:07:55.1
136,0.3451 A DC,14/01/2026 17:07:55.1,0:00:04.7,14/01/2026 17:07:55.3,0.3483 A DC,0.3399 A DC,14/01/2026 17:07:55.7,0.3328 A DC,Stable,14/01/2026 17:07:59.8
137,0.3787 A DC,14/01/2026 17:07:59.8,0:00:00.1,14/01/2026 17:07:59.8,0.3787 A DC,0.3787 A DC,14/01/2026 17:07:59.8,0.3787 A DC,Unstable,14/01/2026 17:07:59.9
138,0.3466 A DC,14/01/2026 17:07:59.9,0:00:00.5,14/01/2026 17:07:59.9,0.3466 A DC,0.3400 A DC,14/01/2026 17:08:00.1,0.3343 A DC,Interval,14/01/2026 17:08:00.4
139,0.3371 A DC,14/01/2026 17:08:00.4,0:00:03.8,14/01/2026 17:08:04.1,0.3563 A DC,0.3401 A DC,14/01/2026 17:08:01.8,0.3304 A DC,Stable,14/01/2026 17:08:04.2
140,0.3608 A DC,14/01/2026 17:08:04.2,0:00:01.0,14/01/2026 17:08:04.2,0.3608 A DC,0.3447 A DC,14/01/2026 17:08:04.7,0.3351 A DC,Unstable,14/01/2026 17:08:05.2
141,0.3550 A DC,14/01/2026 17:08:05.2,0:00:05.2,14/01/2026 17:08:07.3,0.3676 A DC,0.3400 A DC,14/01/2026 17:08:06.7,0.3324 A DC,Interval,14/01/2026 17:08:10.5
142,0.3413 A DC,14/01/2026 17:08:10.5,0:00:10.0,14/01/2026 17:08:20.2,0.3574 A DC,0.3388 A DC,14/01/2026 17:08:12.0,0.3277 A DC,Interval,14/01/2026 17:08:20.4
143,0.3358 A DC,14/01/2026 17:08:20.4,0:00:01.7,14/01/2026 17:08:21.3,0.3543 A DC,0.3415 A DC,14/01/2026 17:08:20.5,0.3351 A DC,Unstable,14/01/2026 17:08:22.1
144,0.3297 A DC,14/01/2026 17:08:22.1,0:00:04.0,14/01/2026 17:08:22.5,0.3488 A DC,0.3394 A DC,14/01/2026 17:08:22.1,0.3297 A DC,Stable,14/01/2026 17:08:26.2
145,0.3683 A DC,14/01/2026 17:08:26.2,0:00:00.8,14/01/2026 17:08:26.9,0.4051 A DC,0.3545 A DC,14/01/2026 17:08:26.6,0.3356 A DC,Unstable,14/01/2026 17:08:27.0
146,0.3463 A DC,14/01/2026 17:08:27.0,0:00:03.4,14/01/2026 17:08:29.6,0.3552 A DC,0.3389 A DC,14/01/2026 17:08:28.9,0.3326 A DC,Interval,14/01/2026 17:08:30.4
147,0.3427 A DC,14/01/2026 17:08:30.4,0:00:00.3,14/01/2026 17:08:30.6,0.3661 A DC,0.3502 A DC,14/01/2026 17:08:30.5,0.3419 A DC,Unstable,14/01/2026 17:08:30.7
148,0.3420 A DC,14/01/2026 17:08:30.7,0:00:09.8,14/01/2026 17:08:39.3,0.3539 A DC,0.3386 A DC,14/01/2026 17:08:37.3,0.3320 A DC,Interval,14/01/2026 17:08:40.5
149,0.3403 A DC,14/01/2026 17:08:40.5,0:00:10.0,14/01/2026 17:08:44.5,0.3563 A DC,0.3387 A DC,14/01/2026 17:08:47.0,0.3313 A DC,Interval,14/01/2026 17:08:50.4
150,0.3355 A DC,14/01/2026 17:08:50.4,0:00:10.1,14/01/2026 17:08:54.2,0.3511 A DC,0.3382 A DC,14/01/2026 17:08:52.8,0.3328 A DC,Interval,14/01/2026 17:09:00.5
151,0.3359 A DC,14/01/2026 17:09:00.5,0:00:10.0,14/01/2026 17:09:02.6,0.3516 A DC,0.3388 A DC,14/01/2026 17:09:07.7,0.3314 A DC,Interval,14/01/2026 17:09:10.4
152,0.3333 A DC,14/01/2026 17:09:10.4,0:00:06.8,14/01/2026 17:09:14.3,0.3491 A DC,0.3390 A DC,14/01/2026 17:09:15.9,0.3330 A DC,Stable,14/01/2026 17:09:17.3
153,0.3580 A DC,14/01/2026 17:09:17.3,0:00:03.1,14/01/2026 17:09:17.3,0.3580 A DC,0.3415 A DC,14/01/2026 17:09:17.6,0.3349 A DC,Interval,14/01/2026 17:09:20.4
154,0.3337 A DC,14/01/2026 17:09:20.4,0:00:06.4,14/01/2026 17:09:26.7,0.3518 A DC,0.3387 A DC,14/01/2026 17:09:21.1,0.3323 A DC,Stable,14/01/2026 17:09:26.8
155,0.3702 A DC,14/01/2026 17:09:26.8,0:00:00.1,14/01/2026 17:09:26.8,0.3702 A DC,0.3702 A DC,14/01/2026 17:09:26.8,0.3702 A DC,Unstable,14/01/2026 17:09:26.9
156,0.3356 A DC,14/01/2026 17:09:26.9,0:00:02.3,14/01/2026 17:09:28.2,0.3432 A DC,0.3391 A DC,14/01/2026 17:09:27.1,0.3330 A DC,Stable,14/01/2026 17:09:29.3
157,0.3592 A DC,14/01/2026 17:09:29.3,0:00:00.1,14/01/2026 17:09:29.3,0.3592 A DC,0.3592 A DC,14/01/2026 17:09:29.3,0.3592 A DC,Unstable,14/01/2026 17:09:29.4
158,0.3392 A DC,14/01/2026 17:09:29.4,0:00:01.1,14/01/2026 17:09:29.6,0.3533 A DC,0.3395 A DC,14/01/2026 17:09:30.1,0.3353 A DC,Interval,14/01/2026 17:09:30.5
159,0.3373 A DC,14/01/2026 17:09:30.5,0:00:10.0,14/01/2026 17:09:37.5,0.3531 A DC,0.3385 A DC,14/01/2026 17:09:38.6,0.3325 A DC,Interval,14/01/2026 17:09:40.4
160,0.3428 A DC,14/01/2026 17:09:40.4,0:00:10.1,14/01/2026 17:09:45.2,0.3514 A DC,0.3389 A DC,14/01/2026 17:09:43.1,0.3304 A DC,Interval,14/01/2026 17:09:50.5
161,0.3461 A DC,14/01/2026 17:09:50.5,0:00:04.4,14/01/2026 17:09:50.5,0.3461 A DC,0.3388 A DC,14/01/2026 17:09:51.0,0.3339 A DC,Stable,14/01/2026 17:09:54.9
162,0.3706 A DC,14/01/2026 17:09:54.9,0:00:00.1,14/01/2026 17:09:54.9,0.3706 A DC,0.3706 A DC,14/01/2026 17:09:54.9,0.3706 A DC,Unstable,14/01/2026 17:09:55.0
163,0.3448 A DC,14/01/2026 17:09:55.0,0:00:05.4,14/01/2026 17:09:59.2,0.3522 A DC,0.3381 A DC,14/01/2026 17:09:55.4,0.3327 A DC,Interval,14/01/2026 17:10:00.4
164,0.3356 A DC,14/01/2026 17:10:00.4,0:00:10.0,14/01/2026 17:10:09.7,0.3486 A DC,0.3377 A DC,14/01/2026 17:10:08.6,0.3312 A DC,Interval,14/01/2026 17:10:10.4
165,0.3364 A DC,14/01/2026 17:10:10.4,0:00:07.3,14/01/2026 17:10:17.2,0.3536 A DC,0.3387 A DC,14/01/2026 17:10:13.4,0.3312 A DC,Stable,14/01/2026 17:10:17.7
166,0.3563 A DC,14/01/2026 17:10:17.7,0:00:00.1,14/01/2026 17:10:17.7,0.3563 A DC,0.3563 A DC,14/01/2026 17:10:17.7,0.3563 A DC,Unstable,14/01/2026 17:10:17.8
167,0.3326 A DC,14/01/2026 17:10:17.8,0:00:02.6,14/01/2026 17:10:20.3,0.3477 A DC,0.3367 A DC,14/01/2026 17:10:18.7,0.3309 A DC,Interval,14/01/2026 17:10:20.5
168,0.3409 A DC,14/01/2026 17:10:20.5,0:00:03.0,14/01/2026 17:10:23.2,0.3567 A DC,0.3399 A DC,14/01/2026 17:10:20.9,0.3330 A DC,Stable,14/01/2026 17:10:23.5
169,0.3623 A DC,14/01/2026 17:10:23.5,0:00:00.1,14/01/2026 17:10:23.5,0.3623 A DC,0.3623 A DC,14/01/2026 17:10:23.5,0.3623 A DC,Unstable,14/01/2026 17:10:23.6
170,0.3361 A DC,14/01/2026 17:10:23.6,0:00:03.3,14/01/2026 17:10:26.2,0.3540 A DC,0.3394 A DC,14/01/2026 17:10:24.1,0.3327 A DC,Stable,14/01/2026 17:10:26.9
171,0.4047 A DC,14/01/2026 17:10:26.9,0:00:00.1,14/01/2026 17:10:26.9,0.4047 A DC,0.4047 A DC,14/01/2026 17:10:26.9,0.4047 A DC,Unstable,14/01/2026 17:10:27.0
172,0.3401 A DC,14/01/2026 17:10:27.0,0:00:03.4,14/01/2026 17:10:30.2,0.3472 A DC,0.3378 A DC,14/01/2026 17:10:28.7,0.3332 A DC,Interval,14/01/2026 17:10:30.4
173,0.3401 A DC,14/01/2026 17:10:30.4,0:00:10.1,14/01/2026 17:10:37.6,0.3565 A DC,0.3382 A DC,14/01/2026 17:10:36.2,0.3293 A DC,Interval,14/01/2026 17:10:40.5
174,0.3344 A DC,14/01/2026 17:10:40.5,0:00:10.0,14/01/2026 17:10:45.6,0.3487 A DC,0.3377 A DC,14/01/2026 17:10:43.9,0.3292 A DC,Interval,14/01/2026 17:10:50.4
175,0.3373 A DC,14/01/2026 17:10:50.4,0:00:04.5,14/01/2026 17:10:52.1,0.3501 A DC,0.3382 A DC,14/01/2026 17:10:54.1,0.3306 A DC,Stable,14/01/2026 17:10:55.0
176,0.3600 A DC,14/01/2026 17:10:55.0,0:00:00.1,14/01/2026 17:10:55.0,0.3600 A DC,0.3600 A DC,14/01/2026 17:10:55.0,0.3600 A DC,Unstable,14/01/2026 17:10:55.1
177,0.3364 A DC,14/01/2026 17:10:55.1,0:00:05.3,14/01/2026 17:10:56.3,0.3464 A DC,0.3381 A DC,14/01/2026 17:10:59.1,0.3272 A DC,Interval,14/01/2026 17:11:00.4
178,0.3358 A DC,14/01/2026 17:11:00.4,0:00:09.3,14/01/2026 17:11:06.2,0.3499 A DC,0.3383 A DC,14/01/2026 17:11:04.9,0.3324 A DC,Stable,14/01/2026 17:11:09.7
179,0.3728 A DC,14/01/2026 17:11:09.7,0:00:00.1,14/01/2026 17:11:09.7,0.3728 A DC,0.3728 A DC,14/01/2026 17:11:09.7,0.3728 A DC,Unstable,14/01/2026 17:11:09.8
180,0.3426 A DC,14/01/2026 17:11:09.8,0:00:00.7,14/01/2026 17:11:10.3,0.3458 A DC,0.3407 A DC,14/01/2026 17:11:10.4,0.3340 A DC,Interval,14/01/2026 17:11:10.5
181,0.3330 A DC,14/01/2026 17:11:10.5,0:00:07.2,14/01/2026 17:11:14.3,0.3518 A DC,0.3374 A DC,14/01/2026 17:11:16.1,0.3324 A DC,Stable,14/01/2026 17:11:17.7
182,0.3559 A DC,14/01/2026 17:11:17.7,0:00:02.7,14/01/2026 17:11:18.7,0.3563 A DC,0.3415 A DC,14/01/2026 17:11:18.5,0.3349 A DC,Interval,14/01/2026 17:11:20.4
183,0.3351 A DC,14/01/2026 17:11:20.4,0:00:06.0,14/01/2026 17:11:23.4,0.3527 A DC,0.3383 A DC,14/01/2026 17:11:24.5,0.3322 A DC,Stable,14/01/2026 17:11:26.5
184,0.3568 A DC,14/01/2026 17:11:26.5,0:00:00.7,14/01/2026 17:11:26.9,0.3681 A DC,0.3485 A DC,14/01/2026 17:11:27.1,0.3364 A DC,Unstable,14/01/2026 17:11:27.2
185,0.3336 A DC,14/01/2026 17:11:27.2,0:00:03.3,14/01/2026 17:11:29.3,0.3438 A DC,0.3372 A DC,14/01/2026 17:11:29.6,0.3323 A DC,Interval,14/01/2026 17:11:30.5
186,0.3355 A DC,14/01/2026 17:11:30.5,0:00:10.0,14/01/2026 17:11:39.4,0.3512 A DC,0.3384 A DC,14/01/2026 17:11:34.6,0.3311 A DC,Interval,14/01/2026 17:11:40.4
187,0.3333 A DC,14/01/2026 17:11:40.4,0:00:01.5,14/01/2026 17:11:41.3,0.3487 A DC,0.3392 A DC,14/01/2026 17:11:40.4,0.3333 A DC,Stable,14/01/2026 17:11:42.0
188,0.3672 A DC,14/01/2026 17:11:42.0,0:00:00.1,14/01/2026 17:11:42.0,0.3672 A DC,0.3672 A DC,14/01/2026 17:11:42.0,0.3672 A DC,Unstable,14/01/2026 17:11:42.1
189,0.3370 A DC,14/01/2026 17:11:42.1,0:00:08.4,14/01/2026 17:11:47.6,0.3534 A DC,0.3383 A DC,14/01/2026 17:11:45.1,0.3327 A DC,Interval,14/01/2026 17:11:50.4
190,0.3337 A DC,14/01/2026 17:11:50.4,0:00:10.1,14/01/2026 17:11:53.2,0.3518 A DC,0.3377 A DC,14/01/2026 17:11:56.5,0.3321 A DC,Interval,14/01/2026 17:12:00.5
191,0.3372 A DC,14/01/2026 17:12:00.5,0:00:02.4,14/01/2026 17:12:02.4,0.3444 A DC,0.3384 A DC,14/01/2026 17:12:02.6,0.3329 A DC,Stable,14/01/2026 17:12:02.9
192,0.3606 A DC,14/01/2026 17:12:02.9,0:00:00.1,14/01/2026 17:12:02.9,0.3606 A DC,0.3606 A DC,14/01/2026 17:12:02.9,0.3606 A DC,Unstable,14/01/2026 17:12:03.0
193,0.3405 A DC,14/01/2026 17:12:03.0,0:00:07.4,14/01/2026 17:12:08.2,0.3470 A DC,0.3376 A DC,14/01/2026 17:12:08.5,0.3324 A DC,Interval,14/01/2026 17:12:10.4
194,0.3345 A DC,14/01/2026 17:12:10.4,0:00:05.1,14/01/2026 17:12:13.7,0.3507 A DC,0.3392 A DC,14/01/2026 17:12:14.5,0.3327 A DC,Stable,14/01/2026 17:12:15.6
195,0.3688 A DC,14/01/2026 17:12:15.6,0:00:00.1,14/01/2026 17:12:15.6,0.3688 A DC,0.3688 A DC,14/01/2026 17:12:15.6,0.3688 A DC,Unstable,14/01/2026 17:12:15.7
196,0.3361 A DC,14/01/2026 17:12:15.7,0:00:01.6,14/01/2026 17:12:17.2,0.3468 A DC,0.3397 A DC,14/01/2026 17:12:15.8,0.3340 A DC,Stable,14/01/2026 17:12:17.3
197,0.3563 A DC,14/01/2026 17:12:17.3,0:00:03.2,14/01/2026 17:12:17.3,0.3563 A DC,0.3384 A DC,14/01/2026 17:12:19.1,0.3330 A DC,Interval,14/01/2026 17:12:20.5
198,0.3394 A DC,14/01/2026 17:12:20.5,0:00:02.2,14/01/2026 17:12:22.1,0.3526 A DC,0.3391 A DC,14/01/2026 17:12:21.9,0.3344 A DC,Stable,14/01/2026 17:12:22.7
199,0.3633 A DC,14/01/2026 17:12:22.7,0:00:00.9,14/01/2026 17:12:23.3,0.3640 A DC,0.3486 A DC,14/01/2026 17:12:23.1,0.3367 A DC,Unstable,14/01/2026 17:12:23.6
200,0.3361 A DC,14/01/2026 17:12:23.6,0:00:03.5,14/01/2026 17:12:26.7,0.3513 A DC,0.3390 A DC,14/01/2026 17:12:26.4,0.3328 A DC,Stable,14/01/2026 17:12:27.1
201,0.3661 A DC,14/01/2026 17:12:27.1,0:00:00.2,14/01/2026 17:12:27.1,0.3661 A DC,0.3581 A DC,14/01/2026 17:12:27.2,0.3500 A DC,Unstable,14/01/2026 17:12:27.3
202,0.3380 A DC,14/01/2026 17:12:27.3,0:00:01.9,14/01/2026 17:12:28.2,0.3513 A DC,0.3392 A DC,14/01/2026 17:12:27.5,0.3343 A DC,Stable,14/01/2026 17:12:29.2
203,0.3837 A DC,14/01/2026 17:12:29.2,0:00:00.4,14/01/2026 17:12:29.2,0.3837 A DC,0.3599 A DC,14/01/2026 17:12:29.4,0.3417 A DC,Unstable,14/01/2026 17:12:29.6
204,0.3447 A DC,14/01/2026 17:12:29.6,0:00:00.8,14/01/2026 17:12:29.6,0.3447 A DC,0.3403 A DC,14/01/2026 17:12:30.0,0.3344 A DC,Interval,14/01/2026 17:12:30.4
205,0.3351 A DC,14/01/2026 17:12:30.4,0:00:06.3,14/01/2026 17:12:36.7,0.3520 A DC,0.3377 A DC,14/01/2026 17:12:35.4,0.3320 A DC,Stable,14/01/2026 17:12:36.8
206,0.3533 A DC,14/01/2026 17:12:36.8,0:00:01.1,14/01/2026 17:12:37.8,0.3550 A DC,0.3386 A DC,14/01/2026 17:12:37.1,0.3318 A DC,Unstable,14/01/2026 17:12:37.9
207,0.3355 A DC,14/01/2026 17:12:37.9,0:00:01.1,14/01/2026 17:12:38.7,0.3454 A DC,0.3352 A DC,14/01/2026 17:12:38.0,0.3321 A DC,Stable,14/01/2026 17:12:39.0
208,0.3627 A DC,14/01/2026 17:12:39.0,0:00:00.1,14/01/2026 17:12:39.0,0.3627 A DC,0.3627 A DC,14/01/2026 17:12:39.0,0.3627 A DC,Unstable,14/01/2026 17:12:39.1
209,0.3349 A DC,14/01/2026 17:12:39.1,0:00:01.3,14/01/2026 17:12:39.8,0.3496 A DC,0.3368 A DC,14/01/2026 17:12:39.5,0.3335 A DC,Interval,14/01/2026 17:12:40.4
210,0.3288 A DC,14/01/2026 17:12:40.4,0:00:00.7,14/01/2026 17:12:41.0,0.3566 A DC,0.3401 A DC,14/01/2026 17:12:40.4,0.3288 A DC,Unstable,14/01/2026 17:12:41.1
211,0.3363 A DC,14/01/2026 17:12:41.1,0:00:04.1,14/01/2026 17:12:42.0,0.3550 A DC,0.3366 A DC,14/01/2026 17:12:42.8,0.3313 A DC,Stable,14/01/2026 17:12:45.2
212,0.3618 A DC,14/01/2026 17:12:45.2,0:00:01.1,14/01/2026 17:12:46.2,0.3647 A DC,0.3420 A DC,14/01/2026 17:12:45.5,0.3323 A DC,Unstable,14/01/2026 17:12:46.3
213,0.3378 A DC,14/01/2026 17:12:46.3,0:00:01.9,14/01/2026 17:12:47.4,0.3462 A DC,0.3375 A DC,14/01/2026 17:12:48.2,0.3328 A DC,Stable,14/01/2026 17:12:48.3
214,0.3603 A DC,14/01/2026 17:12:48.3,0:00:00.1,14/01/2026 17:12:48.3,0.3603 A DC,0.3603 A DC,14/01/2026 17:12:48.3,0.3603 A DC,Unstable,14/01/2026 17:12:48.4
215,0.3395 A DC,14/01/2026 17:12:48.4,0:00:02.1,14/01/2026 17:12:50.2,0.3501 A DC,0.3394 A DC,14/01/2026 17:12:49.1,0.3327 A DC,Interval,14/01/2026 17:12:50.5
216,0.3382 A DC,14/01/2026 17:12:50.5,0:00:00.5,14/01/2026 17:12:50.8,0.3484 A DC,0.3412 A DC,14/01/2026 17:12:50.6,0.3325 A DC,Unstable,14/01/2026 17:12:51.0
217,0.3595 A DC,14/01/2026 17:12:51.0,0:00:02.4,14/01/2026 17:12:51.0,0.3595 A DC,0.3406 A DC,14/01/2026 17:12:52.7,0.3355 A DC,Stable,14/01/2026 17:12:53.4
218,0.3342 A DC,14/01/2026 17:12:53.4,0:00:07.0,14/01/2026 17:12:54.0,0.3500 A DC,0.3387 A DC,14/01/2026 17:12:53.9,0.3329 A DC,Interval,14/01/2026 17:13:00.4
219,0.3346 A DC,14/01/2026 17:13:00.4,0:00:09.3,14/01/2026 17:13:03.2,0.3508 A DC,0.3384 A DC,14/01/2026 17:13:06.7,0.3325 A DC,Stable,14/01/2026 17:13:09.7
220,0.3697 A DC,14/01/2026 17:13:09.7,0:00:00.1,14/01/2026 17:13:09.7,0.3697 A DC,0.3697 A DC,14/01/2026 17:13:09.7,0.3697 A DC,Unstable,14/01/2026 17:13:09.8
221,0.3379 A DC,14/01/2026 17:13:09.8,0:00:00.6,14/01/2026 17:13:10.0,0.3383 A DC,0.3371 A DC,14/01/2026 17:13:10.1,0.3351 A DC,Interval,14/01/2026 17:13:10.4
222,0.3343 A DC,14/01/2026 17:13:10.4,0:00:10.1,14/01/2026 17:13:17.7,0.3513 A DC,0.3381 A DC,14/01/2026 17:13:10.9,0.3328 A DC,Interval,14/01/2026 17:13:20.5
223,0.3361 A DC,14/01/2026 17:13:20.5,0:00:05.4,14/01/2026 17:13:23.5,0.3513 A DC,0.3388 A DC,14/01/2026 17:13:23.1,0.3325 A DC,Stable,14/01/2026 17:13:25.9
224,0.3648 A DC,14/01/2026 17:13:25.9,0:00:01.3,14/01/2026 17:13:27.1,0.3828 A DC,0.3503 A DC,14/01/2026 17:13:26.0,0.3349 A DC,Unstable,14/01/2026 17:13:27.2
225,0.3492 A DC,14/01/2026 17:13:27.2,0:00:03.2,14/01/2026 17:13:29.2,0.3511 A DC,0.3378 A DC,14/01/2026 17:13:29.1,0.3325 A DC,Interval,14/01/2026 17:13:30.4
226,0.3346 A DC,14/01/2026 17:13:30.4,0:00:00.8,14/01/2026 17:13:31.0,0.3420 A DC,0.3385 A DC,14/01/2026 17:13:30.5,0.3342 A DC,Unstable,14/01/2026 17:13:31.2
227,0.3524 A DC,14/01/2026 17:13:31.2,0:00:09.3,14/01/2026 17:13:31.2,0.3524 A DC,0.3392 A DC,14/01/2026 17:13:36.1,0.3291 A DC,Interval,14/01/2026 17:13:40.5
228,0.3375 A DC,14/01/2026 17:13:40.5,0:00:06.9,14/01/2026 17:13:44.2,0.3486 A DC,0.3364 A DC,14/01/2026 17:13:45.8,0.3320 A DC,Stable,14/01/2026 17:13:47.4
229,0.3557 A DC,14/01/2026 17:13:47.4,0:00:03.3,14/01/2026 17:13:47.4,0.3557 A DC,0.3405 A DC,14/01/2026 17:13:49.8,0.3356 A DC,Interval,14/01/2026 17:13:50.7
230,0.3434 A DC,14/01/2026 17:13:50.7,0:00:01.4,14/01/2026 17:13:51.9,0.3465 A DC,0.3376 A DC,14/01/2026 17:13:51.7,0.3330 A DC,Stable,14/01/2026 17:13:52.1
231,0.3642 A DC,14/01/2026 17:13:52.1,0:00:00.4,14/01/2026 17:13:52.1,0.3642 A DC,0.3502 A DC,14/01/2026 17:13:52.4,0.3400 A DC,Unstable,14/01/2026 17:13:52.5
232,0.3377 A DC,14/01/2026 17:13:52.5,0:00:07.8,14/01/2026 17:13:53.3,0.3501 A DC,0.3387 A DC,14/01/2026 17:13:58.8,0.3332 A DC,Interval,14/01/2026 17:14:00.4
233,0.3378 A DC,14/01/2026 17:14:00.4,0:00:10.1,14/01/2026 17:14:09.7,0.3503 A DC,0.3390 A DC,14/01/2026 17:14:01.5,0.3317 A DC,Interval,14/01/2026 17:14:10.5
234,0.3336 A DC,14/01/2026 17:14:10.5,0:00:06.7,14/01/2026 17:14:11.3,0.3499 A DC,0.3382 A DC,14/01/2026 17:14:16.7,0.3312 A DC,Stable,14/01/2026 17:14:17.2
235,0.3550 A DC,14/01/2026 17:14:17.2,0:00:03.2,14/01/2026 17:14:17.7,0.3663 A DC,0.3411 A DC,14/01/2026 17:14:20.3,0.3343 A DC,Interval,14/01/2026 17:14:20.4
236,0.3339 A DC,14/01/2026 17:14:20.4,0:00:05.7,14/01/2026 17:14:23.2,0.3510 A DC,0.3379 A DC,14/01/2026 17:14:20.9,0.3326 A DC,Stable,14/01/2026 17:14:26.2
