FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 17:00:51,14/01/2026 17:20:50,0:19:59,0:00:10,330,121,219,Save 1
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 17:01:02,0.4076 A DC,0.3383 A DC,0.2022 A DC,14/01/2026 17:00:53,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
27,0.3388 A DC,14/01/2026 17:01:32.6,0:00:07.8,14/01/2026 17:01:40.3,0.3529 A DC,0.3365 A DC,14/01/2026 17:01:37.1,0.3292 A DC,Interval,14/01/2026 17:01:40.4
28,0.3622 A DC,14/01/2026 17:01:40.4,0:00:00.9,14/01/2026 17:01:40.4,0.3622 A DC,0.3594 A DC,14/01/2026 17:01:40.8,0.3540 A DC,Unstable,14/01/2026 17:01:41.3
29,0.3412 A DC,14/01/2026 17:01:41.3,0:00:05.9,14/01/2026 17:01:46.1,0.3525 A DC,0.3384 A DC,14/01/2026 17:01:47.1,0.3306 A DC,Stable,14/01/2026 17:01:47.2
30,0.3568 A DC,14/01/2026 17:01:47.2,0:00:00.7,14/01/2026 17:01:47.2,0.3568 A DC,0.3485 A DC,14/01/2026 17:01:47.4,0.3451 A DC,Unstable,14/01/2026 17:01:47.9
31,0.3340 A DC,14/01/2026 17:01:47.9,0:00:02.5,14/01/2026 17:01:49.3,0.3470 A DC,0.3378 A DC,14/01/2026 17:01:49.9,0.3327 A DC,Interval,14/01/2026 17:01:50.5
32,0.3417 A DC,14/01/2026 17:01:50.5,0:00:10.0,14/01/2026 17:01:54.3,0.3516 A DC,0.3386 A DC,14/01/2026 17:01:55.5,0.3295 A DC,Interval,14/01/2026 17:02:00.4
33,0.3365 A DC,14/01/2026 17:02:00.4,0:00:04.0,14/01/2026 17:02:03.2,0.3432 A DC,0.3367 A DC,14/01/2026 17:02:02.1,0.3296 A DC,Stable,14/01/2026 17:02:04.4
34,0.3603 A DC,14/01/2026 17:02:04.4,0:00:03.0,14/01/2026 17:02:04.4,0.3603 A DC,0.3402 A DC,14/01/2026 17:02:05.8,0.3341 A DC,Stable,14/01/2026 17:02:07.5
35,0.3333 A DC,14/01/2026 17:02:07.5,0:00:03.0,14/01/2026 17:02:10.3,0.3504 A DC,0.3395 A DC,14/01/2026 17:02:07.5,0.3333 A DC,Interval,14/01/2026 17:02:10.5
36,0.3411 A DC,14/01/2026 17:02:10.5,0:00:10.0,14/01/2026 17:02:17.3,0.3528 A DC,0.3378 A DC,14/01/2026 17:02:12.8,0.3301 A DC,Interval,14/01/2026 17:02:20.4
37,0.3397 A DC,14/01/2026 17:02:20.4,0:00:06.4,14/01/2026 17:02:23.8,0.3576 A DC,0.3396 A DC,14/01/2026 17:02:22.5,0.3309 A DC,Stable,14/01/2026 17:02:26.9
38,0.3792 A DC,14/01/2026 17:02:26.9,0:00:00.1,14/01/2026 17:02:26.9,0.3792 A DC,0.3792 A DC,14/01/2026 17:02:26.9,0.3792 A DC,Unstable,14/01/2026 17:02:27.0
