FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 14:30:01,14/01/2026 14:50:01,0:20:00,0:00:10,381,121,275,Save 4
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 14:30:04,1.6253 A DC,0.1896 A DC,0.1746 A DC,14/01/2026 14:48:15,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
115,0.1804 A DC,14/01/2026 14:36:21.9,0:00:08.7,14/01/2026 14:36:29.9,0.1921 A DC,0.1828 A DC,14/01/2026 14:36:24.3,0.1774 A DC,Interval,14/01/2026 14:36:30.5
116,0.1857 A DC,14/01/2026 14:36:30.5,0:00:01.3,14/01/2026 14:36:30.5,0.1857 A DC,0.1800 A DC,14/01/2026 14:36:31.6,0.1773 A DC,Stable,14/01/2026 14:36:31.8
117,0.6476 A DC,14/01/2026 14:36:31.8,0:00:00.2,14/01/2026 14:36:31.8,0.6476 A DC,0.4223 A DC,14/01/2026 14:36:31.9,0.1970 A DC,Unstable,14/01/2026 14:36:32.0
118,0.1778 A DC,14/01/2026 14:36:32.0,0:00:08.5,14/01/2026 14:36:33.9,0.1923 A DC,0.1816 A DC,14/01/2026 14:36:36.3,0.1768 A DC,Interval,14/01/2026 14:36:40.6
119,0.1780 A DC,14/01/2026 14:36:40.6,0:00:01.3,14/01/2026 14:36:40.9,0.1918 A DC,0.1833 A DC,14/01/2026 14:36:41.4,0.1770 A DC,Stable,14/01/2026 14:36:41.9
120,0.2770 A DC,14/01/2026 14:36:41.9,0:00:00.2,14/01/2026 14:36:42.0,0.3985 A DC,0.3377 A DC,14/01/2026 14:36:41.9,0.2770 A DC,Unstable,14/01/2026 14:36:42.1
121,0.1951 A DC,14/01/2026 14:36:42.1,0:00:04.9,14/01/2026 14:36:42.1,0.1951 A DC,0.1820 A DC,14/01/2026 14:36:42.4,0.1767 A DC,Stable,14/01/2026 14:36:47.0
122,0.2197 A DC,14/01/2026 14:36:47.0,0:00:00.1,14/01/2026 14:36:47.0,0.2197 A DC,0.2197 A DC,14/01/2026 14:36:47.0,0.2197 A DC,Unstable,14/01/2026 14:36:47.1
123,0.1827 A DC,14/01/2026 14:36:47.1,0:00:03.4,14/01/2026 14:36:49.8,0.1936 A DC,0.1839 A DC,14/01/2026 14:36:47.7,0.1802 A DC,Interval,14/01/2026 14:36:50.6
124,0.1851 A DC,14/01/2026 14:36:50.6,0:00:01.5,14/01/2026 14:36:51.1,0.1937 A DC,0.1870 A DC,14/01/2026 14:36:51.4,0.1816 A DC,Stable,14/01/2026 14:36:52.1
125,0.6648 A DC,14/01/2026 14:36:52.1,0:00:00.2,14/01/2026 14:36:52.1,0.6648 A DC,0.4412 A DC,14/01/2026 14:36:52.2,0.2175 A DC,Unstable,14/01/2026 14:36:52.3
126,0.1839 A DC,14/01/2026 14:36:52.3,0:00:02.4,14/01/2026 14:36:52.9,0.1918 A DC,0.1841 A DC,14/01/2026 14:36:53.7,0.1796 A DC,Stable,14/01/2026 14:36:54.7
127,0.2036 A DC,14/01/2026 14:36:54.7,0:00:00.8,14/01/2026 14:36:54.7,0.2036 A DC,0.1909 A DC,14/01/2026 14:36:55.4,0.1820 A DC,Unstable,14/01/2026 14:36:55.5
128,0.1817 A DC,14/01/2026 14:36:55.5,0:00:01.6,14/01/2026 14:36:56.8,0.1929 A DC,0.1882 A DC,14/01/2026 14:36:55.5,0.1817 A DC,Stable,14/01/2026 14:36:57.1
129,0.2136 A DC,14/01/2026 14:36:57.1,0:00:00.2,14/01/2026 14:36:57.1,0.2136 A DC,0.2061 A DC,14/01/2026 14:36:57.2,0.1985 A DC,Unstable,14/01/2026 14:36:57.3
130,0.1825 A DC,14/01/2026 14:36:57.3,0:00:03.2,14/01/2026 14:36:59.8,0.1931 A DC,0.1840 A DC,14/01/2026 14:37:00.4,0.1804 A DC,Interval,14/01/2026 14:37:00.5
131,0.1842 A DC,14/01/2026 14:37:00.5,0:00:01.7,14/01/2026 14:37:00.8,0.1937 A DC,0.1870 A DC,14/01/2026 14:37:01.5,0.1821 A DC,Stable,14/01/2026 14:37:02.2
132,0.4070 A DC,14/01/2026 14:37:02.2,0:00:00.1,14/01/2026 14:37:02.2,0.4070 A DC,0.4070 A DC,14/01/2026 14:37:02.2,0.4070 A DC,Unstable,14/01/2026 14:37:02.3
133,0.1882 A DC,14/01/2026 14:37:02.3,0:00:04.9,14/01/2026 14:37:02.8,0.1946 A DC,0.1845 A DC,14/01/2026 14:37:06.4,0.1786 A DC,Stable,14/01/2026 14:37:07.3
134,0.2270 A DC,14/01/2026 14:37:07.3,0:00:00.1,14/01/2026 14:37:07.3,0.2270 A DC,0.2270 A DC,14/01/2026 14:37:07.3,0.2270 A DC,Unstable,14/01/2026 14:37:07.4
135,0.1919 A DC,14/01/2026 14:37:07.4,0:00:03.2,14/01/2026 14:37:07.4,0.1919 A DC,0.1830 A DC,14/01/2026 14:37:10.2,0.1774 A DC,Interval,14/01/2026 14:37:10.6
136,0.1771 A DC,14/01/2026 14:37:10.6,0:00:06.7,14/01/2026 14:37:14.0,0.1904 A DC,0.1821 A DC,14/01/2026 14:37:12.3,0.1766 A DC,Stable,14/01/2026 14:37:17.3
137,0.5073 A DC,14/01/2026 14:37:17.3,0:00:00.2,14/01/2026 14:37:17.3,0.5073 A DC,0.3838 A DC,14/01/2026 14:37:17.4,0.2602 A DC,Unstable,14/01/2026 14:37:17.5
138,0.1811 A DC,14/01/2026 14:37:17.5,0:00:03.0,14/01/2026 14:37:18.4,0.1926 A DC,0.1819 A DC,14/01/2026 14:37:17.6,0.1772 A DC,Interval,14/01/2026 14:37:20.5
139,0.1797 A DC,14/01/2026 14:37:20.5,0:00:06.9,14/01/2026 14:37:25.9,0.1939 A DC,0.1821 A DC,14/01/2026 14:37:22.1,0.1769 A DC,Stable,14/01/2026 14:37:27.5
140,0.7991 A DC,14/01/2026 14:37:27.5,0:00:00.2,14/01/2026 14:37:27.5,0.7991 A DC,0.5066 A DC,14/01/2026 14:37:27.6,0.2140 A DC,Unstable,14/01/2026 14:37:27.7
141,0.1851 A DC,14/01/2026 14:37:27.7,0:00:02.9,14/01/2026 14:37:30.1,0.1993 A DC,0.1817 A DC,14/01/2026 14:37:28.6,0.1772 A DC,Interval,14/01/2026 14:37:30.6
142,0.1862 A DC,14/01/2026 14:37:30.6,0:00:01.9,14/01/2026 14:37:30.7,0.1879 A DC,0.1838 A DC,14/01/2026 14:37:32.4,0.1788 A DC,Stable,14/01/2026 14:37:32.5
143,0.2148 A DC,14/01/2026 14:37:32.5,0:00:00.1,14/01/2026 14:37:32.5,0.2148 A DC,0.2148 A DC,14/01/2026 14:37:32.5,0.2148 A DC,Unstable,14/01/2026 14:37:32.6
144,0.1841 A DC,14/01/2026 14:37:32.6,0:00:04.9,14/01/2026 14:37:34.8,0.1904 A DC,0.1818 A DC,14/01/2026 14:37:34.1,0.1777 A DC,Stable,14/01/2026 14:37:37.5
145,0.2382 A DC,14/01/2026 14:37:37.5,0:00:00.2,14/01/2026 14:37:37.6,0.3541 A DC,0.2962 A DC,14/01/2026 14:37:37.5,0.2382 A DC,Unstable,14/01/2026 14:37:37.7
146,0.1915 A DC,14/01/2026 14:37:37.7,0:00:02.8,14/01/2026 14:37:37.7,0.1915 A DC,0.1826 A DC,14/01/2026 14:37:39.7,0.1777 A DC,Interval,14/01/2026 14:37:40.6
147,0.1856 A DC,14/01/2026 14:37:40.6,0:00:02.1,14/01/2026 14:37:42.3,0.1862 A DC,0.1807 A DC,14/01/2026 14:37:41.3,0.1780 A DC,Stable,14/01/2026 14:37:42.7
148,0.2346 A DC,14/01/2026 14:37:42.7,0:00:00.1,14/01/2026 14:37:42.7,0.2346 A DC,0.2346 A DC,14/01/2026 14:37:42.7,0.2346 A DC,Unstable,14/01/2026 14:37:42.8
149,0.1820 A DC,14/01/2026 14:37:42.8,0:00:04.9,14/01/2026 14:37:43.9,0.1903 A DC,0.1823 A DC,14/01/2026 14:37:45.3,0.1777 A DC,Stable,14/01/2026 14:37:47.7
150,0.6999 A DC,14/01/2026 14:37:47.7,0:00:00.2,14/01/2026 14:37:47.7,0.6999 A DC,0.4641 A DC,14/01/2026 14:37:47.8,0.2283 A DC,Unstable,14/01/2026 14:37:47.9
151,0.1885 A DC,14/01/2026 14:37:47.9,0:00:02.6,14/01/2026 14:37:48.8,0.1906 A DC,0.1841 A DC,14/01/2026 14:37:50.2,0.1782 A DC,Interval,14/01/2026 14:37:50.5
152,0.1797 A DC,14/01/2026 14:37:50.5,0:00:02.2,14/01/2026 14:37:51.1,0.1894 A DC,0.1814 A DC,14/01/2026 14:37:51.6,0.1774 A DC,Stable,14/01/2026 14:37:52.7
153,0.2058 A DC,14/01/2026 14:37:52.7,0:00:00.2,14/01/2026 14:37:52.7,0.2058 A DC,0.1995 A DC,14/01/2026 14:37:52.8,0.1932 A DC,Unstable,14/01/2026 14:37:52.9
154,0.1796 A DC,14/01/2026 14:37:52.9,0:00:07.6,14/01/2026 14:37:55.3,0.1942 A DC,0.1824 A DC,14/01/2026 14:37:57.3,0.1778 A DC,Interval,14/01/2026 14:38:00.6
155,0.1793 A DC,14/01/2026 14:38:00.6,0:00:02.3,14/01/2026 14:38:01.4,0.1900 A DC,0.1846 A DC,14/01/2026 14:38:01.7,0.1791 A DC,Stable,14/01/2026 14:38:02.9
156,0.5578 A DC,14/01/2026 14:38:02.9,0:00:00.1,14/01/2026 14:38:02.9,0.5578 A DC,0.5578 A DC,14/01/2026 14:38:02.9,0.5578 A DC,Unstable,14/01/2026 14:38:03.0
157,0.1928 A DC,14/01/2026 14:38:03.0,0:00:07.5,14/01/2026 14:38:06.0,0.1957 A DC,0.1821 A DC,14/01/2026 14:38:07.9,0.1760 A DC,Interval,14/01/2026 14:38:10.5
158,0.1890 A DC,14/01/2026 14:38:10.5,0:00:02.4,14/01/2026 14:38:10.9,0.1944 A DC,0.1832 A DC,14/01/2026 14:38:11.1,0.1785 A DC,Stable,14/01/2026 14:38:13.0
159,0.3648 A DC,14/01/2026 14:38:13.0,0:00:00.2,14/01/2026 14:38:13.1,0.4068 A DC,0.3858 A DC,14/01/2026 14:38:13.0,0.3648 A DC,Unstable,14/01/2026 14:38:13.2
160,0.1851 A DC,14/01/2026 14:38:13.2,0:00:04.9,14/01/2026 14:38:13.9,0.1940 A DC,0.1819 A DC,14/01/2026 14:38:14.2,0.1770 A DC,Stable,14/01/2026 14:38:18.1
161,0.2502 A DC,14/01/2026 14:38:18.1,0:00:00.1,14/01/2026 14:38:18.1,0.2502 A DC,0.2502 A DC,14/01/2026 14:38:18.1,0.2502 A DC,Unstable,14/01/2026 14:38:18.2
162,0.1813 A DC,14/01/2026 14:38:18.2,0:00:02.4,14/01/2026 14:38:19.1,0.1951 A DC,0.1819 A DC,14/01/2026 14:38:20.4,0.1776 A DC,Interval,14/01/2026 14:38:20.6
163,0.1777 A DC,14/01/2026 14:38:20.6,0:00:02.5,14/01/2026 14:38:22.8,0.1879 A DC,0.1815 A DC,14/01/2026 14:38:20.6,0.1777 A DC,Stable,14/01/2026 14:38:23.1
164,0.6527 A DC,14/01/2026 14:38:23.1,0:00:00.2,14/01/2026 14:38:23.1,0.6527 A DC,0.4578 A DC,14/01/2026 14:38:23.2,0.2629 A DC,Unstable,14/01/2026 14:38:23.3
165,0.1912 A DC,14/01/2026 14:38:23.3,0:00:07.2,14/01/2026 14:38:28.2,0.2028 A DC,0.1824 A DC,14/01/2026 14:38:26.0,0.1775 A DC,Interval,14/01/2026 14:38:30.6
166,0.1869 A DC,14/01/2026 14:38:30.6,0:00:02.7,14/01/2026 14:38:31.9,0.1921 A DC,0.1823 A DC,14/01/2026 14:38:31.5,0.1773 A DC,Stable,14/01/2026 14:38:33.3
167,0.6782 A DC,14/01/2026 14:38:33.3,0:00:00.2,14/01/2026 14:38:33.3,0.6782 A DC,0.4385 A DC,14/01/2026 14:38:33.4,0.1987 A DC,Unstable,14/01/2026 14:38:33.5
168,0.1781 A DC,14/01/2026 14:38:33.5,0:00:07.0,14/01/2026 14:38:34.9,0.1922 A DC,0.1820 A DC,14/01/2026 14:38:38.3,0.1747 A DC,Interval,14/01/2026 14:38:40.5
169,0.1827 A DC,14/01/2026 14:38:40.5,0:00:02.8,14/01/2026 14:38:41.2,0.1876 A DC,0.1800 A DC,14/01/2026 14:38:43.0,0.1770 A DC,Stable,14/01/2026 14:38:43.3
170,0.3375 A DC,14/01/2026 14:38:43.3,0:00:00.2,14/01/2026 14:38:43.3,0.3375 A DC,0.3224 A DC,14/01/2026 14:38:43.4,0.3072 A DC,Unstable,14/01/2026 14:38:43.5
171,0.1908 A DC,14/01/2026 14:38:43.5,0:00:07.0,14/01/2026 14:38:43.5,0.1908 A DC,0.1811 A DC,14/01/2026 14:38:48.5,0.1757 A DC,Interval,14/01/2026 14:38:50.6
172,0.1773 A DC,14/01/2026 14:38:50.6,0:00:02.9,14/01/2026 14:38:53.0,0.1989 A DC,0.1831 A DC,14/01/2026 14:38:50.6,0.1773 A DC,Stable,14/01/2026 14:38:53.5
173,0.6818 A DC,14/01/2026 14:38:53.5,0:00:00.2,14/01/2026 14:38:53.5,0.6818 A DC,0.4511 A DC,14/01/2026 14:38:53.6,0.2204 A DC,Unstable,14/01/2026 14:38:53.7
174,0.1786 A DC,14/01/2026 14:38:53.7,0:00:06.8,14/01/2026 14:38:57.2,0.1894 A DC,0.1809 A DC,14/01/2026 14:38:55.6,0.1767 A DC,Interval,14/01/2026 14:39:00.5
175,0.1777 A DC,14/01/2026 14:39:00.5,0:00:03.1,14/01/2026 14:39:01.2,0.1894 A DC,0.1805 A DC,14/01/2026 14:39:01.0,0.1767 A DC,Stable,14/01/2026 14:39:03.7
176,0.2157 A DC,14/01/2026 14:39:03.7,0:00:00.1,14/01/2026 14:39:03.7,0.2157 A DC,0.2157 A DC,14/01/2026 14:39:03.7,0.2157 A DC,Unstable,14/01/2026 14:39:03.8
177,0.1810 A DC,14/01/2026 14:39:03.8,0:00:01.7,14/01/2026 14:39:04.4,0.1913 A DC,0.1826 A DC,14/01/2026 14:39:05.1,0.1781 A DC,Stable,14/01/2026 14:39:05.5
178,0.1988 A DC,14/01/2026 14:39:05.5,0:00:03.2,14/01/2026 14:39:05.5,0.1988 A DC,0.1806 A DC,14/01/2026 14:39:07.0,0.1768 A DC,Stable,14/01/2026 14:39:08.7
179,0.5299 A DC,14/01/2026 14:39:08.7,0:00:00.2,14/01/2026 14:39:08.7,0.5299 A DC,0.3684 A DC,14/01/2026 14:39:08.8,0.2069 A DC,Unstable,14/01/2026 14:39:08.9
180,0.1838 A DC,14/01/2026 14:39:08.9,0:00:01.7,14/01/2026 14:39:09.8,0.1946 A DC,0.1814 A DC,14/01/2026 14:39:09.0,0.1774 A DC,Interval,14/01/2026 14:39:10.6
181,0.1859 A DC,14/01/2026 14:39:10.6,0:00:03.1,14/01/2026 14:39:12.8,0.1923 A DC,0.1798 A DC,14/01/2026 14:39:12.3,0.1766 A DC,Stable,14/01/2026 14:39:13.7
182,0.2616 A DC,14/01/2026 14:39:13.7,0:00:00.1,14/01/2026 14:39:13.7,0.2616 A DC,0.2616 A DC,14/01/2026 14:39:13.7,0.2616 A DC,Unstable,14/01/2026 14:39:13.8
183,0.1992 A DC,14/01/2026 14:39:13.8,0:00:04.9,14/01/2026 14:39:13.8,0.1992 A DC,0.1822 A DC,14/01/2026 14:39:17.9,0.1778 A DC,Stable,14/01/2026 14:39:18.8
184,0.3462 A DC,14/01/2026 14:39:18.8,0:00:00.2,14/01/2026 14:39:18.8,0.3462 A DC,0.3325 A DC,14/01/2026 14:39:18.9,0.3188 A DC,Unstable,14/01/2026 14:39:19.0
185,0.1817 A DC,14/01/2026 14:39:19.0,0:00:01.6,14/01/2026 14:39:20.5,0.1847 A DC,0.1797 A DC,14/01/2026 14:39:19.1,0.1773 A DC,Interval,14/01/2026 14:39:20.6
186,0.1853 A DC,14/01/2026 14:39:20.6,0:00:03.3,14/01/2026 14:39:22.8,0.1918 A DC,0.1822 A DC,14/01/2026 14:39:23.4,0.1771 A DC,Stable,14/01/2026 14:39:23.9
187,0.2098 A DC,14/01/2026 14:39:23.9,0:00:00.1,14/01/2026 14:39:23.9,0.2098 A DC,0.2098 A DC,14/01/2026 14:39:23.9,0.2098 A DC,Unstable,14/01/2026 14:39:24.0
188,0.1812 A DC,14/01/2026 14:39:24.0,0:00:04.9,14/01/2026 14:39:24.1,0.1989 A DC,0.1851 A DC,14/01/2026 14:39:24.6,0.1805 A DC,Stable,14/01/2026 14:39:28.9
189,0.6249 A DC,14/01/2026 14:39:28.9,0:00:00.2,14/01/2026 14:39:28.9,0.6249 A DC,0.4156 A DC,14/01/2026 14:39:29.0,0.2062 A DC,Unstable,14/01/2026 14:39:29.1
190,0.1813 A DC,14/01/2026 14:39:29.1,0:00:01.4,14/01/2026 14:39:29.4,0.1866 A DC,0.1827 A DC,14/01/2026 14:39:29.7,0.1795 A DC,Interval,14/01/2026 14:39:30.5
191,0.1886 A DC,14/01/2026 14:39:30.5,0:00:08.4,14/01/2026 14:39:31.8,0.1938 A DC,0.1846 A DC,14/01/2026 14:39:35.6,0.1800 A DC,Stable,14/01/2026 14:39:39.0
192,0.2209 A DC,14/01/2026 14:39:39.0,0:00:00.2,14/01/2026 14:39:39.1,0.3807 A DC,0.3008 A DC,14/01/2026 14:39:39.0,0.2209 A DC,Unstable,14/01/2026 14:39:39.2
193,0.1944 A DC,14/01/2026 14:39:39.2,0:00:01.4,14/01/2026 14:39:39.2,0.1944 A DC,0.1870 A DC,14/01/2026 14:39:40.0,0.1817 A DC,Interval,14/01/2026 14:39:40.6
194,0.1875 A DC,14/01/2026 14:39:40.6,0:00:08.5,14/01/2026 14:39:43.8,0.1929 A DC,0.1841 A DC,14/01/2026 14:39:47.2,0.1800 A DC,Stable,14/01/2026 14:39:49.1
195,0.2553 A DC,14/01/2026 14:39:49.1,0:00:00.1,14/01/2026 14:39:49.1,0.2553 A DC,0.2553 A DC,14/01/2026 14:39:49.1,0.2553 A DC,Unstable,14/01/2026 14:39:49.2
196,0.1928 A DC,14/01/2026 14:39:49.2,0:00:01.3,14/01/2026 14:39:49.2,0.1928 A DC,0.1859 A DC,14/01/2026 14:39:49.9,0.1825 A DC,Interval,14/01/2026 14:39:50.5
197,0.1838 A DC,14/01/2026 14:39:50.5,0:00:03.6,14/01/2026 14:39:51.1,0.1890 A DC,0.1820 A DC,14/01/2026 14:39:53.3,0.1777 A DC,Stable,14/01/2026 14:39:54.2
198,0.4755 A DC,14/01/2026 14:39:54.2,0:00:00.2,14/01/2026 14:39:54.2,0.4755 A DC,0.3696 A DC,14/01/2026 14:39:54.3,0.2637 A DC,Unstable,14/01/2026 14:39:54.4
199,0.1802 A DC,14/01/2026 14:39:54.4,0:00:04.9,14/01/2026 14:39:54.7,0.1954 A DC,0.1808 A DC,14/01/2026 14:39:55.0,0.1780 A DC,Stable,14/01/2026 14:39:59.3
200,0.1991 A DC,14/01/2026 14:39:59.3,0:00:00.1,14/01/2026 14:39:59.3,0.1991 A DC,0.1991 A DC,14/01/2026 14:39:59.3,0.1991 A DC,Unstable,14/01/2026 14:39:59.4
201,0.1784 A DC,14/01/2026 14:39:59.4,0:00:01.2,14/01/2026 14:39:59.8,0.1830 A DC,0.1792 A DC,14/01/2026 14:39:59.6,0.1778 A DC,Interval,14/01/2026 14:40:00.6
202,0.1784 A DC,14/01/2026 14:40:00.6,0:00:03.7,14/01/2026 14:40:02.8,0.1886 A DC,0.1813 A DC,14/01/2026 14:40:04.0,0.1781 A DC,Stable,14/01/2026 14:40:04.3
203,0.8447 A DC,14/01/2026 14:40:04.3,0:00:00.5,14/01/2026 14:40:04.3,0.8447 A DC,0.8447 A DC,14/01/2026 14:40:04.3,0.8447 A DC,Unstable,14/01/2026 14:40:04.8
204,0.1819 A DC,14/01/2026 14:40:04.8,0:00:04.5,14/01/2026 14:40:07.9,0.1860 A DC,0.1807 A DC,14/01/2026 14:40:05.0,0.1776 A DC,Stable,14/01/2026 14:40:09.4
205,0.2095 A DC,14/01/2026 14:40:09.4,0:00:00.1,14/01/2026 14:40:09.4,0.2095 A DC,0.2095 A DC,14/01/2026 14:40:09.4,0.2095 A DC,Unstable,14/01/2026 14:40:09.5
206,0.1844 A DC,14/01/2026 14:40:09.5,0:00:01.1,14/01/2026 14:40:09.7,0.1873 A DC,0.1812 A DC,14/01/2026 14:40:10.0,0.1780 A DC,Interval,14/01/2026 14:40:10.6
207,0.1814 A DC,14/01/2026 14:40:10.6,0:00:03.8,14/01/2026 14:40:10.8,0.1866 A DC,0.1807 A DC,14/01/2026 14:40:11.0,0.1777 A DC,Stable,14/01/2026 14:40:14.4
208,0.2127 A DC,14/01/2026 14:40:14.4,0:00:00.2,14/01/2026 14:40:14.5,0.4780 A DC,0.3453 A DC,14/01/2026 14:40:14.4,0.2127 A DC,Unstable,14/01/2026 14:40:14.6
209,0.1890 A DC,14/01/2026 14:40:14.6,0:00:05.9,14/01/2026 14:40:18.4,0.1940 A DC,0.1811 A DC,14/01/2026 14:40:16.5,0.1773 A DC,Interval,14/01/2026 14:40:20.5
210,0.1831 A DC,14/01/2026 14:40:20.5,0:00:04.0,14/01/2026 14:40:24.1,0.1969 A DC,0.1806 A DC,14/01/2026 14:40:22.0,0.1775 A DC,Stable,14/01/2026 14:40:24.6
211,0.6510 A DC,14/01/2026 14:40:24.6,0:00:00.2,14/01/2026 14:40:24.6,0.6510 A DC,0.4692 A DC,14/01/2026 14:40:24.7,0.2873 A DC,Unstable,14/01/2026 14:40:24.8
212,0.1873 A DC,14/01/2026 14:40:24.8,0:00:05.8,14/01/2026 14:40:30.2,0.1938 A DC,0.1809 A DC,14/01/2026 14:40:28.7,0.1772 A DC,Interval,14/01/2026 14:40:30.6
213,0.1791 A DC,14/01/2026 14:40:30.6,0:00:04.1,14/01/2026 14:40:34.2,0.1862 A DC,0.1806 A DC,14/01/2026 14:40:34.0,0.1776 A DC,Stable,14/01/2026 14:40:34.7
214,0.7041 A DC,14/01/2026 14:40:34.7,0:00:00.2,14/01/2026 14:40:34.7,0.7041 A DC,0.4570 A DC,14/01/2026 14:40:34.8,0.2098 A DC,Unstable,14/01/2026 14:40:34.9
215,0.1788 A DC,14/01/2026 14:40:34.9,0:00:05.6,14/01/2026 14:40:37.8,0.1880 A DC,0.1800 A DC,14/01/2026 14:40:39.5,0.1772 A DC,Interval,14/01/2026 14:40:40.6
216,0.1776 A DC,14/01/2026 14:40:40.6,0:00:04.2,14/01/2026 14:40:42.1,0.1841 A DC,0.1805 A DC,14/01/2026 14:40:40.6,0.1776 A DC,Stable,14/01/2026 14:40:44.8
217,0.2111 A DC,14/01/2026 14:40:44.8,0:00:00.2,14/01/2026 14:40:44.9,0.4332 A DC,0.3221 A DC,14/01/2026 14:40:44.8,0.2111 A DC,Unstable,14/01/2026 14:40:45.0
218,0.1854 A DC,14/01/2026 14:40:45.0,0:00:05.5,14/01/2026 14:40:49.8,0.1859 A DC,0.1802 A DC,14/01/2026 14:40:45.2,0.1775 A DC,Interval,14/01/2026 14:40:50.5
219,0.1787 A DC,14/01/2026 14:40:50.5,0:00:10.1,14/01/2026 14:40:59.3,0.1896 A DC,0.1804 A DC,14/01/2026 14:40:56.7,0.1771 A DC,Interval,14/01/2026 14:41:00.6
220,0.1786 A DC,14/01/2026 14:41:00.6,0:00:04.5,14/01/2026 14:41:03.1,0.1868 A DC,0.1801 A DC,14/01/2026 14:41:02.6,0.1774 A DC,Stable,14/01/2026 14:41:05.1
221,0.5060 A DC,14/01/2026 14:41:05.1,0:00:00.1,14/01/2026 14:41:05.1,0.5060 A DC,0.5060 A DC,14/01/2026 14:41:05.1,0.5060 A DC,Unstable,14/01/2026 14:41:05.2
222,0.1917 A DC,14/01/2026 14:41:05.2,0:00:04.9,14/01/2026 14:41:05.2,0.1917 A DC,0.1802 A DC,14/01/2026 14:41:08.3,0.1773 A DC,Stable,14/01/2026 14:41:10.1
223,0.2348 A DC,14/01/2026 14:41:10.1,0:00:00.1,14/01/2026 14:41:10.1,0.2348 A DC,0.2348 A DC,14/01/2026 14:41:10.1,0.2348 A DC,Unstable,14/01/2026 14:41:10.2
224,0.1827 A DC,14/01/2026 14:41:10.2,0:00:00.3,14/01/2026 14:41:10.2,0.1827 A DC,0.1796 A DC,14/01/2026 14:41:10.4,0.1780 A DC,Interval,14/01/2026 14:41:10.5
225,0.1781 A DC,14/01/2026 14:41:10.5,0:00:09.8,14/01/2026 14:41:17.8,0.1869 A DC,0.1805 A DC,14/01/2026 14:41:15.2,0.1759 A DC,Stable,14/01/2026 14:41:20.3
226,0.3205 A DC,14/01/2026 14:41:20.3,0:00:00.1,14/01/2026 14:41:20.3,0.3205 A DC,0.3205 A DC,14/01/2026 14:41:20.3,0.3205 A DC,Unstable,14/01/2026 14:41:20.4
227,0.1817 A DC,14/01/2026 14:41:20.4,0:00:00.2,14/01/2026 14:41:20.4,0.1817 A DC,0.1799 A DC,14/01/2026 14:41:20.5,0.1780 A DC,Interval,14/01/2026 14:41:20.6
228,0.1774 A DC,14/01/2026 14:41:20.6,0:00:09.8,14/01/2026 14:41:29.9,0.1919 A DC,0.1805 A DC,14/01/2026 14:41:20.6,0.1774 A DC,Stable,14/01/2026 14:41:30.4
229,0.8056 A DC,14/01/2026 14:41:30.4,0:00:00.1,14/01/2026 14:41:30.4,0.8056 A DC,0.8056 A DC,14/01/2026 14:41:30.4,0.8056 A DC,Unstable,14/01/2026 14:41:30.5
230,0.2653 A DC,14/01/2026 14:41:30.5,0:00:00.1,14/01/2026 14:41:30.5,0.2653 A DC,0.2653 A DC,14/01/2026 14:41:30.5,0.2653 A DC,Interval,14/01/2026 14:41:30.6
231,0.1817 A DC,14/01/2026 14:41:30.6,0:00:10.0,14/01/2026 14:41:32.1,0.1903 A DC,0.1805 A DC,14/01/2026 14:41:32.3,0.1772 A DC,Interval,14/01/2026 14:41:40.5
232,0.6518 A DC,14/01/2026 14:41:40.5,0:00:00.2,14/01/2026 14:41:40.5,0.6518 A DC,0.4260 A DC,14/01/2026 14:41:40.6,0.2001 A DC,Unstable,14/01/2026 14:41:40.7
233,0.1808 A DC,14/01/2026 14:41:40.7,0:00:09.9,14/01/2026 14:41:40.8,0.1860 A DC,0.1803 A DC,14/01/2026 14:41:45.6,0.1769 A DC,Interval,14/01/2026 14:41:50.6
234,0.2611 A DC,14/01/2026 14:41:50.6,0:00:00.2,14/01/2026 14:41:50.7,0.3041 A DC,0.2826 A DC,14/01/2026 14:41:50.6,0.2611 A DC,Unstable,14/01/2026 14:41:50.8
235,0.1888 A DC,14/01/2026 14:41:50.8,0:00:04.9,14/01/2026 14:41:50.8,0.1888 A DC,0.1804 A DC,14/01/2026 14:41:55.6,0.1775 A DC,Stable,14/01/2026 14:41:55.7
236,0.2097 A DC,14/01/2026 14:41:55.7,0:00:00.1,14/01/2026 14:41:55.7,0.2097 A DC,0.2097 A DC,14/01/2026 14:41:55.7,0.2097 A DC,Unstable,14/01/2026 14:41:55.8
237,0.1830 A DC,14/01/2026 14:41:55.8,0:00:04.7,14/01/2026 14:41:58.8,0.1842 A DC,0.1802 A DC,14/01/2026 14:41:56.0,0.1780 A DC,Interval,14/01/2026 14:42:00.5
238,0.1779 A DC,14/01/2026 14:42:00.5,0:00:05.2,14/01/2026 14:42:03.1,0.1887 A DC,0.1810 A DC,14/01/2026 14:42:00.5,0.1779 A DC,Stable,14/01/2026 14:42:05.8
