FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 14:30:01,14/01/2026 14:50:01,0:20:00,0:00:10,381,121,275,Save 4
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 14:30:04,1.6253 A DC,0.1896 A DC,0.1746 A DC,14/01/2026 14:48:15,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
27,0.1871 A DC,14/01/2026 14:31:30.6,0:00:02.6,14/01/2026 14:31:33.1,0.2041 A DC,0.1889 A DC,14/01/2026 14:31:33.0,0.1841 A DC,Stable,14/01/2026 14:31:33.2
28,0.6697 A DC,14/01/2026 14:31:33.2,0:00:00.2,14/01/2026 14:31:33.2,0.6697 A DC,0.4389 A DC,14/01/2026 14:31:33.3,0.2080 A DC,Unstable,14/01/2026 14:31:33.4
29,0.1887 A DC,14/01/2026 14:31:33.4,0:00:07.1,14/01/2026 14:31:39.7,0.1929 A DC,0.1876 A DC,14/01/2026 14:31:34.2,0.1826 A DC,Interval,14/01/2026 14:31:40.6
30,0.1874 A DC,14/01/2026 14:31:40.6,0:00:02.7,14/01/2026 14:31:40.7,0.1907 A DC,0.1883 A DC,14/01/2026 14:31:41.1,0.1872 A DC,Stable,14/01/2026 14:31:43.3
31,0.2867 A DC,14/01/2026 14:31:43.3,0:00:00.2,14/01/2026 14:31:43.4,0.3820 A DC,0.3344 A DC,14/01/2026 14:31:43.3,0.2867 A DC,Unstable,14/01/2026 14:31:43.5
32,0.1940 A DC,14/01/2026 14:31:43.5,0:00:07.0,14/01/2026 14:31:43.5,0.1940 A DC,0.1873 A DC,14/01/2026 14:31:48.8,0.1830 A DC,Interval,14/01/2026 14:31:50.5
33,0.1915 A DC,14/01/2026 14:31:50.5,0:00:02.9,14/01/2026 14:31:50.5,0.1915 A DC,0.1878 A DC,14/01/2026 14:31:52.2,0.1864 A DC,Stable,14/01/2026 14:31:53.4
34,0.7194 A DC,14/01/2026 14:31:53.4,0:00:00.2,14/01/2026 14:31:53.4,0.7194 A DC,0.4915 A DC,14/01/2026 14:31:53.5,0.2635 A DC,Unstable,14/01/2026 14:31:53.6
35,0.1887 A DC,14/01/2026 14:31:53.6,0:00:06.9,14/01/2026 14:31:58.6,0.1965 A DC,0.1872 A DC,14/01/2026 14:31:54.4,0.1838 A DC,Interval,14/01/2026 14:32:00.6
36,0.1851 A DC,14/01/2026 14:32:00.6,0:00:08.0,14/01/2026 14:32:03.2,0.1973 A DC,0.1876 A DC,14/01/2026 14:32:04.7,0.1827 A DC,Stable,14/01/2026 14:32:08.6
37,0.6644 A DC,14/01/2026 14:32:08.6,0:00:00.2,14/01/2026 14:32:08.6,0.6644 A DC,0.4375 A DC,14/01/2026 14:32:08.7,0.2105 A DC,Unstable,14/01/2026 14:32:08.8
38,0.1899 A DC,14/01/2026 14:32:08.8,0:00:01.7,14/01/2026 14:32:08.8,0.1899 A DC,0.1874 A DC,14/01/2026 14:32:10.0,0.1864 A DC,Interval,14/01/2026 14:32:10.5
39,0.1869 A DC,14/01/2026 14:32:10.5,0:00:03.0,14/01/2026 14:32:13.4,0.1892 A DC,0.1876 A DC,14/01/2026 14:32:11.5,0.1831 A DC,Stable,14/01/2026 14:32:13.6
40,0.2066 A DC,14/01/2026 14:32:13.6,0:00:00.1,14/01/2026 14:32:13.6,0.2066 A DC,0.2066 A DC,14/01/2026 14:32:13.6,0.2066 A DC,Unstable,14/01/2026 14:32:13.7
41,0.1884 A DC,14/01/2026 14:32:13.7,0:00:05.0,14/01/2026 14:32:18.5,0.1958 A DC,0.1875 A DC,14/01/2026 14:32:16.0,0.1838 A DC,Stable,14/01/2026 14:32:18.7
42,0.2365 A DC,14/01/2026 14:32:18.7,0:00:00.2,14/01/2026 14:32:18.8,0.5797 A DC,0.4081 A DC,14/01/2026 14:32:18.7,0.2365 A DC,Unstable,14/01/2026 14:32:18.9
43,0.2013 A DC,14/01/2026 14:32:18.9,0:00:01.7,14/01/2026 14:32:18.9,0.2013 A DC,0.1890 A DC,14/01/2026 14:32:20.2,0.1831 A DC,Interval,14/01/2026 14:32:20.6
44,0.1875 A DC,14/01/2026 14:32:20.6,0:00:08.2,14/01/2026 14:32:24.4,0.2023 A DC,0.1881 A DC,14/01/2026 14:32:21.4,0.1822 A DC,Stable,14/01/2026 14:32:28.9
45,0.5536 A DC,14/01/2026 14:32:28.9,0:00:00.2,14/01/2026 14:32:28.9,0.5536 A DC,0.4247 A DC,14/01/2026 14:32:29.0,0.2958 A DC,Unstable,14/01/2026 14:32:29.1
46,0.1898 A DC,14/01/2026 14:32:29.1,0:00:01.5,14/01/2026 14:32:30.0,0.1903 A DC,0.1874 A DC,14/01/2026 14:32:30.2,0.1847 A DC,Interval,14/01/2026 14:32:30.6
47,0.1856 A DC,14/01/2026 14:32:30.6,0:00:03.4,14/01/2026 14:32:33.7,0.1893 A DC,0.1867 A DC,14/01/2026 14:32:31.2,0.1846 A DC,Stable,14/01/2026 14:32:34.0
48,0.2052 A DC,14/01/2026 14:32:34.0,0:00:05.0,14/01/2026 14:32:34.0,0.2052 A DC,0.1884 A DC,14/01/2026 14:32:34.5,0.1852 A DC,Stable,14/01/2026 14:32:39.0
49,0.7049 A DC,14/01/2026 14:32:39.0,0:00:00.2,14/01/2026 14:32:39.0,0.7049 A DC,0.4580 A DC,14/01/2026 14:32:39.1,0.2110 A DC,Unstable,14/01/2026 14:32:39.2
50,0.1869 A DC,14/01/2026 14:32:39.2,0:00:01.3,14/01/2026 14:32:39.8,0.1949 A DC,0.1871 A DC,14/01/2026 14:32:40.1,0.1816 A DC,Interval,14/01/2026 14:32:40.5
51,0.1875 A DC,14/01/2026 14:32:40.5,0:00:10.1,14/01/2026 14:32:49.9,0.1901 A DC,0.1856 A DC,14/01/2026 14:32:44.1,0.1818 A DC,Interval,14/01/2026 14:32:50.6
52,0.1868 A DC,14/01/2026 14:32:50.6,0:00:03.5,14/01/2026 14:32:51.1,0.1925 A DC,0.1878 A DC,14/01/2026 14:32:52.4,0.1845 A DC,Stable,14/01/2026 14:32:54.1
53,0.2073 A DC,14/01/2026 14:32:54.1,0:00:00.2,14/01/2026 14:32:54.2,0.4381 A DC,0.3227 A DC,14/01/2026 14:32:54.1,0.2073 A DC,Unstable,14/01/2026 14:32:54.3
54,0.1960 A DC,14/01/2026 14:32:54.3,0:00:06.2,14/01/2026 14:32:54.3,0.1960 A DC,0.1875 A DC,14/01/2026 14:32:59.2,0.1820 A DC,Interval,14/01/2026 14:33:00.6
55,0.1939 A DC,14/01/2026 14:33:00.6,0:00:03.7,14/01/2026 14:33:00.6,0.1939 A DC,0.1881 A DC,14/01/2026 14:33:02.1,0.1867 A DC,Stable,14/01/2026 14:33:04.3
56,0.6192 A DC,14/01/2026 14:33:04.3,0:00:00.2,14/01/2026 14:33:04.3,0.6192 A DC,0.5239 A DC,14/01/2026 14:33:04.4,0.4286 A DC,Unstable,14/01/2026 14:33:04.5
57,0.1953 A DC,14/01/2026 14:33:04.5,0:00:06.0,14/01/2026 14:33:05.5,0.1983 A DC,0.1884 A DC,14/01/2026 14:33:07.8,0.1864 A DC,Interval,14/01/2026 14:33:10.5
58,0.1875 A DC,14/01/2026 14:33:10.5,0:00:03.9,14/01/2026 14:33:10.8,0.1897 A DC,0.1868 A DC,14/01/2026 14:33:11.9,0.1835 A DC,Stable,14/01/2026 14:33:14.4
