Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time;Max;;Tiempo (s);Is(A);Ps (W);Wh;<Is> (A);;;;;;;;;;
121;0.1951 A DC;36:42.1;00:04.9;36:42.1;0.1951 A DC;0.1820 A DC;36:42.4;0.1767 A DC;Stable;36:47.0;;;400.9;0.182;2.2568;0.000125378;0.1896;;;;;;;;;;
122;0.2197 A DC;36:47.0;00:00.1;36:47.0;0.2197 A DC;0.2197 A DC;36:47.0;0.2197 A DC;Stable;36:47.1;;;405.7999998;0.2197;2.72428;0.003708048;0.1896;;;;;;;;;;
123;0.1827 A DC;36:47.1;00:03.4;36:49.8;0.1936 A DC;0.1839 A DC;36:47.7;0.1802 A DC;Interval;36:50.6;;;405.8999999;0.1839;2.28036;6.33434E-05;0.1896;;;;;;;;;;
124;0.1851 A DC;36:50.6;00:01.5;36:51.1;0.1937 A DC;0.1870 A DC;36:51.4;0.1816 A DC;Stable;36:52.1;;;409.3999998;0.187;2.3188;0.002254389;0.1896;;;;;;;;;;
125;0.6648 A DC;36:52.1;00:00.2;36:52.1;0.6648 A DC;0.4412 A DC;36:52.2;0.2175 A DC;Stable;36:52.3;;;410.8999998;0.4412;5.47088;0.002279533;0.1896;;;;;;;;;;
126;0.1839 A DC;36:52.3;00:02.4;36:52.9;0.1918 A DC;0.1841 A DC;36:53.7;0.1796 A DC;Stable;36:54.7;;;411.1;0.1841;2.28284;0.000126825;0.1896;;;;;;;;;;
127;0.2036 A DC;36:54.7;00:00.8;36:54.7;0.2036 A DC;0.1909 A DC;36:55.4;0.1820 A DC;Stable;36:55.5;;;413.4999995;0.1909;2.36716;0.001578106;0.1896;;;;;;;;;;
128;0.1817 A DC;36:55.5;00:01.6;36:56.8;0.1929 A DC;0.1882 A DC;36:55.5;0.1817 A DC;Stable;36:57.1;;;414.2999996;0.1882;2.33368;0.000518596;0.1896;;;;;;;;;;
129;0.2136 A DC;36:57.1;00:00.2;36:57.1;0.2136 A DC;0.2061 A DC;36:57.2;0.1985 A DC;Stable;36:57.3;;;415.8999997;0.2061;2.55564;0.00113584;0.1896;;;;;;;;;;
130;0.1825 A DC;36:57.3;00:03.2;36:59.8;0.1931 A DC;0.1840 A DC;37:00.4;0.1804 A DC;Interval;37:00.5;;;416.0999999;0.184;2.2816;0.000126756;0.1896;;;;;;;;;;
131;0.1842 A DC;37:00.5;00:01.7;37:00.8;0.1937 A DC;0.1870 A DC;37:01.5;0.1821 A DC;Stable;37:02.2;;;419.2999995;0.187;2.3188;0.002061155;0.1896;;;;;;;;;;
132;0.4070 A DC;37:02.2;00:00.1;37:02.2;0.4070 A DC;0.4070 A DC;37:02.2;0.4070 A DC;Stable;37:02.3;;;420.9999997;0.407;5.0468;0.002383211;0.1896;;;;;;;;;;
133;0.1882 A DC;37:02.3;00:04.9;37:02.8;0.1946 A DC;0.1845 A DC;37:06.4;0.1786 A DC;Stable;37:07.3;;;421.0999998;0.1845;2.2878;6.35501E-05;0.1896;;;;;;;;;;
134;0.2270 A DC;37:07.3;00:00.1;37:07.3;0.2270 A DC;0.2270 A DC;37:07.3;0.2270 A DC;Stable;37:07.4;;;426.0999997;0.227;2.8148;0.003909444;0.1896;;;;;;;;;;
135;0.1919 A DC;37:07.4;00:03.2;37:07.4;0.1919 A DC;0.1830 A DC;37:10.2;0.1774 A DC;Interval;37:10.6;;;426.1999998;0.183;2.2692;6.30334E-05;0.1896;;;;;;;;;;
136;0.1771 A DC;37:10.6;00:06.7;37:14.0;0.1904 A DC;0.1821 A DC;37:12.3;0.1766 A DC;Stable;37:17.3;;;429.4;0.1821;2.25804;0.002007147;0.1896;;;;;;;;;;
137;0.5073 A DC;37:17.3;00:00.2;37:17.3;0.5073 A DC;0.3838 A DC;37:17.4;0.2602 A DC;Stable;37:17.5;;;436.0999995;0.3838;4.75912;0.00885725;0.1896;;;;;;;;;;
138;0.1811 A DC;37:17.5;00:03.0;37:18.4;0.1926 A DC;0.1819 A DC;37:17.6;0.1772 A DC;Interval;37:20.5;;;436.2999997;0.1819;2.25556;0.000125309;0.1896;;;;;;;;;;
139;0.1797 A DC;37:20.5;00:06.9;37:25.9;0.1939 A DC;0.1821 A DC;37:22.1;0.1769 A DC;Stable;37:27.5;;;439.2999998;0.1821;2.25804;0.0018817;0.1896;;;;;;;;;;
140;0.7991 A DC;37:27.5;00:00.2;37:27.5;0.7991 A DC;0.5066 A DC;37:27.6;0.2140 A DC;Stable;37:27.7;;;446.2999995;0.5066;6.28184;0.012214688;0.1896;;;;;;;;;;
141;0.1851 A DC;37:27.7;00:02.9;37:30.1;0.1993 A DC;0.1817 A DC;37:28.6;0.1772 A DC;Interval;37:30.6;;;446.4999997;0.1817;2.25308;0.000125171;0.1896;;;;;;;;;;
142;0.1862 A DC;37:30.6;00:01.9;37:30.7;0.1879 A DC;0.1838 A DC;37:32.4;0.1788 A DC;Stable;37:32.5;;;449.3999997;0.1838;2.27912;0.001835958;0.1896;;;;;;;;;;
143;0.2148 A DC;37:32.5;00:00.1;37:32.5;0.2148 A DC;0.2148 A DC;37:32.5;0.2148 A DC;Stable;37:32.6;;;451.3000001;0.2148;2.66352;0.001405747;0.1896;;;;;;;;;;
144;0.1841 A DC;37:32.6;00:04.9;37:34.8;0.1904 A DC;0.1818 A DC;37:34.1;0.1777 A DC;Stable;37:37.5;;;451.3999995;0.1818;2.25432;6.26197E-05;0.1896;;;;;;;;;;
145;0.2382 A DC;37:37.5;00:00.2;37:37.6;0.3541 A DC;0.2962 A DC;37:37.5;0.2382 A DC;Stable;37:37.7;;;456.3;0.2962;3.67288;0.004999198;0.1896;;;;;;;;;;
146;0.1915 A DC;37:37.7;00:02.8;37:37.7;0.1915 A DC;0.1826 A DC;37:39.7;0.1777 A DC;Interval;37:40.6;;;456.4999995;0.1826;2.26424;0.000125791;0.1896;;;;;;;;;;
147;0.1856 A DC;37:40.6;00:02.1;37:42.3;0.1862 A DC;0.1807 A DC;37:41.3;0.1780 A DC;Stable;37:42.7;;;459.3999995;0.1807;2.24068;0.001804992;0.1896;;;;;;;;;;
148;0.2346 A DC;37:42.7;00:00.1;37:42.7;0.2346 A DC;0.2346 A DC;37:42.7;0.2346 A DC;Stable;37:42.8;;;461.5000001;0.2346;2.90904;0.00169694;0.1896;;;;;;;;;;
149;0.1820 A DC;37:42.8;00:04.9;37:43.9;0.1903 A DC;0.1823 A DC;37:45.3;0.1777 A DC;Stable;37:47.7;;;461.5999995;0.1823;2.26052;6.27919E-05;0.1896;;;;;;;;;;
150;0.6999 A DC;37:47.7;00:00.2;37:47.7;0.6999 A DC;0.4641 A DC;37:47.8;0.2283 A DC;Stable;37:47.9;;;466.5;0.4641;5.75484;0.007832977;0.1896;;;;;;;;;;
151;0.1885 A DC;37:47.9;00:02.6;37:48.8;0.1906 A DC;0.1841 A DC;37:50.2;0.1782 A DC;Interval;37:50.5;;;466.6999995;0.1841;2.28284;0.000126824;0.1896;;;;;;;;;;
152;0.1797 A DC;37:50.5;00:02.2;37:51.1;0.1894 A DC;0.1814 A DC;37:51.6;0.1774 A DC;Stable;37:52.7;;;469.2999999;0.1814;2.24936;0.001624538;0.1896;;;;;;;;;;
153;0.2058 A DC;37:52.7;00:00.2;37:52.7;0.2058 A DC;0.1995 A DC;37:52.8;0.1932 A DC;Stable;37:52.9;;;471.4999999;0.1995;2.4738;0.001511767;0.1896;;;;;;;;;;
154;0.1796 A DC;37:52.9;00:07.6;37:55.3;0.1942 A DC;0.1824 A DC;37:57.3;0.1778 A DC;Interval;38:00.6;;;471.7000001;0.1824;2.26176;0.000125653;0.1896;;;;;;;;;;
155;0.1793 A DC;38:00.6;00:02.3;38:01.4;0.1900 A DC;0.1846 A DC;38:01.7;0.1791 A DC;Stable;38:02.9;;;479.3999998;0.1846;2.28904;0.004896002;0.1896;;;;;;;;;;
156;0.5578 A DC;38:02.9;00:00.1;38:02.9;0.5578 A DC;0.5578 A DC;38:02.9;0.5578 A DC;Stable;38:03.0;;;481.6999999;0.5578;6.91672;0.004419016;0.1896;;;;;;;;;;
157;0.1928 A DC;38:03.0;00:07.5;38:06.0;0.1957 A DC;0.1821 A DC;38:07.9;0.1760 A DC;Interval;38:10.5;;;481.8;0.1821;2.25804;6.27234E-05;0.1896;;;;;;;;;;
158;0.1890 A DC;38:10.5;00:02.4;38:10.9;0.1944 A DC;0.1832 A DC;38:11.1;0.1785 A DC;Stable;38:13.0;;;489.2999995;0.1832;2.27168;0.004732666;0.1896;;;;;;;;;;
159;0.3648 A DC;38:13.0;00:00.2;38:13.1;0.4068 A DC;0.3858 A DC;38:13.0;0.3648 A DC;Stable;38:13.2;;;491.7999998;0.3858;4.78392;0.003322167;0.1896;;;;;;;;;;
160;0.1851 A DC;38:13.2;00:04.9;38:13.9;0.1940 A DC;0.1819 A DC;38:14.2;0.1770 A DC;Stable;38:18.1;;;492;0.1819;2.25556;0.000125309;0.1896;;;;;;;;;;
161;0.2502 A DC;38:18.1;00:00.1;38:18.1;0.2502 A DC;0.2502 A DC;38:18.1;0.2502 A DC;Stable;38:18.2;;;496.8999998;0.2502;3.10248;0.00422282;0.1896;;;;;;;;;;
162;0.1813 A DC;38:18.2;00:02.4;38:19.1;0.1951 A DC;0.1819 A DC;38:20.4;0.1776 A DC;Interval;38:20.6;;;496.9999999;0.1819;2.25556;6.26545E-05;0.1896;;;;;;;;;;
163;0.1777 A DC;38:20.6;00:02.5;38:22.8;0.1879 A DC;0.1815 A DC;38:20.6;0.1777 A DC;Stable;38:23.1;;;499.4000001;0.1815;2.2506;0.0015004;0.1896;;;;;;;;;;
164;0.6527 A DC;38:23.1;00:00.2;38:23.1;0.6527 A DC;0.4578 A DC;38:23.2;0.2629 A DC;Stable;38:23.3;;;501.8999997;0.4578;5.67672;0.003942166;0.1896;;;;;;;;;;
165;0.1912 A DC;38:23.3;00:07.2;38:28.2;0.2028 A DC;0.1824 A DC;38:26.0;0.1775 A DC;Interval;38:30.6;;;502.0999999;0.1824;2.26176;0.000125653;0.1896;;;;;;;;;;
166;0.1869 A DC;38:30.6;00:02.7;38:31.9;0.1921 A DC;0.1823 A DC;38:31.5;0.1773 A DC;Stable;38:33.3;;;509.3999999;0.1823;2.26052;0.004583832;0.1896;;;;;;;;;;
167;0.6782 A DC;38:33.3;00:00.2;38:33.3;0.6782 A DC;0.4385 A DC;38:33.4;0.1987 A DC;Stable;38:33.5;;;512.0999997;0.4385;5.4374;0.00407805;0.1896;;;;;;;;;;
168;0.1781 A DC;38:33.5;00:07.0;38:34.9;0.1922 A DC;0.1820 A DC;38:38.3;0.1747 A DC;Interval;38:40.5;;;512.2999999;0.182;2.2568;0.000125378;0.1896;;;;;;;;;;
169;0.1827 A DC;38:40.5;00:02.8;38:41.2;0.1876 A DC;0.1800 A DC;38:43.0;0.1770 A DC;Stable;38:43.3;;;519.2999996;0.18;2.232;0.00434;0.1896;;;;;;;;;;
170;0.3375 A DC;38:43.3;00:00.2;38:43.3;0.3375 A DC;0.3224 A DC;38:43.4;0.3072 A DC;Stable;38:43.5;;;522.0999995;0.3224;3.99776;0.003109369;0.1896;;;;;;;;;;
171;0.1908 A DC;38:43.5;00:07.0;38:43.5;0.1908 A DC;0.1811 A DC;38:48.5;0.1757 A DC;Interval;38:50.6;;;522.2999997;0.1811;2.24564;0.000124758;0.1896;;;;;;;;;;
172;0.1773 A DC;38:50.6;00:02.9;38:53.0;0.1989 A DC;0.1831 A DC;38:50.6;0.1773 A DC;Stable;38:53.5;;;529.3999995;0.1831;2.27044;0.004477812;0.1896;;;;;;;;;;
173;0.6818 A DC;38:53.5;00:00.2;38:53.5;0.6818 A DC;0.4511 A DC;38:53.6;0.2204 A DC;Stable;38:53.7;;;532.2999995;0.4511;5.59364;0.004505988;0.1896;;;;;;;;;;
174;0.1786 A DC;38:53.7;00:06.8;38:57.2;0.1894 A DC;0.1809 A DC;38:55.6;0.1767 A DC;Interval;39:00.5;;;532.4999997;0.1809;2.24316;0.00012462;0.1896;;;;;;;;;;
175;0.1777 A DC;39:00.5;00:03.1;39:01.2;0.1894 A DC;0.1805 A DC;39:01.0;0.1767 A DC;Stable;39:03.7;;;539.2999999;0.1805;2.2382;0.004227711;0.1896;;;;;;;;;;
176;0.2157 A DC;39:03.7;00:00.1;39:03.7;0.2157 A DC;0.2157 A DC;39:03.7;0.2157 A DC;Stable;39:03.8;;;542.4999995;0.2157;2.67468;0.002377493;0.1896;;;;;;;;;;
177;0.1810 A DC;39:03.8;00:01.7;39:04.4;0.1913 A DC;0.1826 A DC;39:05.1;0.1781 A DC;Stable;39:05.5;;;542.5999996;0.1826;2.26424;6.28956E-05;0.1896;;;;;;;;;;
178;0.1988 A DC;39:05.5;00:03.2;39:05.5;0.1988 A DC;0.1806 A DC;39:07.0;0.1768 A DC;Stable;39:08.7;;;544.2999998;0.1806;2.23944;0.001057513;0.1896;;;;;;;;;;
179;0.5299 A DC;39:08.7;00:00.2;39:08.7;0.5299 A DC;0.3684 A DC;39:08.8;0.2069 A DC;Stable;39:08.9;;;547.5000001;0.3684;4.56816;0.004060587;0.1896;;;;;;;;;;
180;0.1838 A DC;39:08.9;00:01.7;39:09.8;0.1946 A DC;0.1814 A DC;39:09.0;0.1774 A DC;Interval;39:10.6;;;547.6999996;0.1814;2.24936;0.000124964;0.1896;;;;;;;;;;
181;0.1859 A DC;39:10.6;00:03.1;39:12.8;0.1923 A DC;0.1798 A DC;39:12.3;0.1766 A DC;Stable;39:13.7;;;549.3999998;0.1798;2.22952;0.001052829;0.1896;;;;;;;;;;
182;0.2616 A DC;39:13.7;00:00.1;39:13.7;0.2616 A DC;0.2616 A DC;39:13.7;0.2616 A DC;Stable;39:13.8;;;552.5;0.2616;3.24384;0.002793307;0.1896;;;;;;;;;;
183;0.1992 A DC;39:13.8;00:04.9;39:13.8;0.1992 A DC;0.1822 A DC;39:17.9;0.1778 A DC;Stable;39:18.8;;;552.6000001;0.1822;2.25928;6.27578E-05;0.1896;;;;;;;;;;
184;0.3462 A DC;39:18.8;00:00.2;39:18.8;0.3462 A DC;0.3325 A DC;39:18.9;0.3188 A DC;Stable;39:19.0;;;557.6;0.3325;4.123;0.005726389;0.1896;;;;;;;;;;
185;0.1817 A DC;39:19.0;00:01.6;39:20.5;0.1847 A DC;0.1797 A DC;39:19.1;0.1773 A DC;Interval;39:20.6;;;557.7999995;0.1797;2.22828;0.000123793;0.1896;;;;;;;;;;
186;0.1853 A DC;39:20.6;00:03.3;39:22.8;0.1918 A DC;0.1822 A DC;39:23.4;0.1771 A DC;Stable;39:23.9;;;559.3999996;0.1822;2.25928;0.001004125;0.1896;;;;;;;;;;
187;0.2098 A DC;39:23.9;00:00.1;39:23.9;0.2098 A DC;0.2098 A DC;39:23.9;0.2098 A DC;Stable;39:24.0;;;562.7;0.2098;2.60152;0.002384727;0.1896;;;;;;;;;;
188;0.1812 A DC;39:24.0;00:04.9;39:24.1;0.1989 A DC;0.1851 A DC;39:24.6;0.1805 A DC;Stable;39:28.9;;;562.8;0.1851;2.29524;6.37567E-05;0.1896;;;;;;;;;;
189;0.6249 A DC;39:28.9;00:00.2;39:28.9;0.6249 A DC;0.4156 A DC;39:29.0;0.2062 A DC;Stable;39:29.1;;;567.6999999;0.4156;5.15344;0.007014404;0.1896;;;;;;;;;;
190;0.1813 A DC;39:29.1;00:01.4;39:29.4;0.1866 A DC;0.1827 A DC;39:29.7;0.1795 A DC;Interval;39:30.5;;;567.9;0.1827;2.26548;0.00012586;0.1896;;;;;;;;;;
191;0.1886 A DC;39:30.5;00:08.4;39:31.8;0.1938 A DC;0.1846 A DC;39:35.6;0.1800 A DC;Stable;39:39.0;;;569.3;0.1846;2.28904;0.000890182;0.1896;;;;;;;;;;
192;0.2209 A DC;39:39.0;00:00.2;39:39.1;0.3807 A DC;0.3008 A DC;39:39.0;0.2209 A DC;Stable;39:39.2;;;577.7999998;0.3008;3.72992;0.008806755;0.1896;;;;;;;;;;
193;0.1944 A DC;39:39.2;00:01.4;39:39.2;0.1944 A DC;0.1870 A DC;39:40.0;0.1817 A DC;Interval;39:40.6;;;578;0.187;2.3188;0.000128822;0.1896;;;;;;;;;;
194;0.1875 A DC;39:40.6;00:08.5;39:43.8;0.1929 A DC;0.1841 A DC;39:47.2;0.1800 A DC;Stable;39:49.1;;;579.3999999;0.1841;2.28284;0.000887771;0.1896;;;;;;;;;;
195;0.2553 A DC;39:49.1;00:00.1;39:49.1;0.2553 A DC;0.2553 A DC;39:49.1;0.2553 A DC;Stable;39:49.2;;;587.8999997;0.2553;3.16572;0.007474616;0.1896;;;;;;;;;;
196;0.1928 A DC;39:49.2;00:01.3;39:49.2;0.1928 A DC;0.1859 A DC;39:49.9;0.1825 A DC;Interval;39:50.5;;;587.9999998;0.1859;2.30516;6.40323E-05;0.1896;;;;;;;;;;
197;0.1838 A DC;39:50.5;00:03.6;39:51.1;0.1890 A DC;0.1820 A DC;39:53.3;0.1777 A DC;Stable;39:54.2;;;589.2999996;0.182;2.2568;0.000814955;0.1896;;;;;;;;;;
198;0.4755 A DC;39:54.2;00:00.2;39:54.2;0.4755 A DC;0.3696 A DC;39:54.3;0.2637 A DC;Stable;39:54.4;;;592.9999997;0.3696;4.58304;0.004710347;0.1896;;;;;;;;;;
199;0.1802 A DC;39:54.4;00:04.9;39:54.7;0.1954 A DC;0.1808 A DC;39:55.0;0.1780 A DC;Stable;39:59.3;;;593.1999999;0.1808;2.24192;0.000124551;0.1896;;;;;;;;;;
200;0.1991 A DC;39:59.3;00:00.1;39:59.3;0.1991 A DC;0.1991 A DC;39:59.3;0.1991 A DC;Stable;39:59.4;;;598.0999997;0.1991;2.46884;0.003360365;0.1896;;;;;;;;;;
201;0.1784 A DC;39:59.4;00:01.2;39:59.8;0.1830 A DC;0.1792 A DC;39:59.6;0.1778 A DC;Interval;40:00.6;;;598.1999998;0.1792;2.22208;6.17245E-05;0.1896;;;;;;;;;;
202;0.1784 A DC;40:00.6;00:03.7;40:02.8;0.1886 A DC;0.1813 A DC;40:04.0;0.1781 A DC;Stable;40:04.3;;;599.3999996;0.1813;2.24812;0.000749373;0.1896;;;;;;;;;;
203;0.8447 A DC;40:04.3;00:00.5;40:04.3;0.8447 A DC;0.8447 A DC;40:04.3;0.8447 A DC;Stable;40:04.8;;;603.0999996;0.8447;10.47428;0.010765232;0.1896;;;;;;;;;;
204;0.1819 A DC;40:04.8;00:04.5;40:07.9;0.1860 A DC;0.1807 A DC;40:05.0;0.1776 A DC;Stable;40:09.4;;;603.6;0.1807;2.24068;0.000311206;0.1896;;;;;;;;;;
205;0.2095 A DC;40:09.4;00:00.1;40:09.4;0.2095 A DC;0.2095 A DC;40:09.4;0.2095 A DC;Stable;40:09.5;;;608.1999996;0.2095;2.5978;0.003319411;0.1896;;;;;;;;;;
206;0.1844 A DC;40:09.5;00:01.1;40:09.7;0.1873 A DC;0.1812 A DC;40:10.0;0.1780 A DC;Interval;40:10.6;;;608.2999997;0.1812;2.24688;6.24134E-05;0.1896;;;;;;;;;;
207;0.1814 A DC;40:10.6;00:03.8;40:10.8;0.1866 A DC;0.1807 A DC;40:11.0;0.1777 A DC;Stable;40:14.4;;;609.4;0.1807;2.24068;0.000684652;0.1896;;;;;;;;;;
208;0.2127 A DC;40:14.4;00:00.2;40:14.5;0.4780 A DC;0.3453 A DC;40:14.4;0.2127 A DC;Stable;40:14.6;;;613.1999995;0.3453;4.28172;0.004519593;0.1896;;;;;;;;;;
209;0.1890 A DC;40:14.6;00:05.9;40:18.4;0.1940 A DC;0.1811 A DC;40:16.5;0.1773 A DC;Interval;40:20.5;;;613.3999997;0.1811;2.24564;0.000124758;0.1896;;;;;;;;;;
210;0.1831 A DC;40:20.5;00:04.0;40:24.1;0.1969 A DC;0.1806 A DC;40:22.0;0.1775 A DC;Stable;40:24.6;;;619.2999997;0.1806;2.23944;0.003670193;0.1896;;;;;;;;;;
211;0.6510 A DC;40:24.6;00:00.2;40:24.6;0.6510 A DC;0.4692 A DC;40:24.7;0.2873 A DC;Stable;40:24.8;;;623.3999995;0.4692;5.81808;0.006626146;0.1896;;;;;;;;;;
212;0.1873 A DC;40:24.8;00:05.8;40:30.2;0.1938 A DC;0.1809 A DC;40:28.7;0.1772 A DC;Interval;40:30.6;;;623.5999997;0.1809;2.24316;0.00012462;0.1896;;;;;;;;;;
213;0.1791 A DC;40:30.6;00:04.1;40:34.2;0.1862 A DC;0.1806 A DC;40:34.0;0.1776 A DC;Stable;40:34.7;;;629.3999997;0.1806;2.23944;0.003607987;0.1896;;;;;;;;;;
214;0.7041 A DC;40:34.7;00:00.2;40:34.7;0.7041 A DC;0.4570 A DC;40:34.8;0.2098 A DC;Stable;40:34.9;;;633.5;0.457;5.6668;0.006453856;0.1896;;;;;;;;;;
215;0.1788 A DC;40:34.9;00:05.6;40:37.8;0.1880 A DC;0.1800 A DC;40:39.5;0.1772 A DC;Interval;40:40.6;;;633.6999996;0.18;2.232;0.000124;0.1896;;;;;;;;;;
216;0.1776 A DC;40:40.6;00:04.2;40:42.1;0.1841 A DC;0.1805 A DC;40:40.6;0.1776 A DC;Stable;40:44.8;;;639.4000001;0.1805;2.2382;0.003543817;0.1896;;;;;;;;;;
217;0.2111 A DC;40:44.8;00:00.2;40:44.9;0.4332 A DC;0.3221 A DC;40:44.8;0.2111 A DC;Stable;40:45.0;;;643.6;0.3221;3.99404;0.004659713;0.1896;;;;;;;;;;
218;0.1854 A DC;40:45.0;00:05.5;40:49.8;0.1859 A DC;0.1802 A DC;40:45.2;0.1775 A DC;Interval;40:50.5;;;643.7999995;0.1802;2.23448;0.000124137;0.1896;;;;;;;;;;
219;0.1787 A DC;40:50.5;00:10.1;40:59.3;0.1896 A DC;0.1804 A DC;40:56.7;0.1771 A DC;Interval;41:00.6;;;649.2999998;0.1804;2.23696;0.003417578;0.1896;;;;;;;;;;
220;0.1786 A DC;41:00.6;00:04.5;41:03.1;0.1868 A DC;0.1801 A DC;41:02.6;0.1774 A DC;Stable;41:05.1;;;659.3999997;0.1801;2.23324;0.006265479;0.1896;;;;;;;;;;
221;0.5060 A DC;41:05.1;00:00.1;41:05.1;0.5060 A DC;0.5060 A DC;41:05.1;0.5060 A DC;Stable;41:05.2;;;663.8999999;0.506;6.2744;0.007843;0.1896;;;;;;;;;;
222;0.1917 A DC;41:05.2;00:04.9;41:05.2;0.1917 A DC;0.1802 A DC;41:08.3;0.1773 A DC;Stable;41:10.1;;;663.9999999;0.1802;2.23448;6.20689E-05;0.1896;;;;;;;;;;
223;0.2348 A DC;41:10.1;00:00.1;41:10.1;0.2348 A DC;0.2348 A DC;41:10.1;0.2348 A DC;Stable;41:10.2;;;668.8999998;0.2348;2.91152;0.003962902;0.1896;;;;;;;;;;
224;0.1827 A DC;41:10.2;00:00.3;41:10.2;0.1827 A DC;0.1796 A DC;41:10.4;0.1780 A DC;Interval;41:10.5;;;668.9999999;0.1796;2.22704;6.18623E-05;0.1896;;;;;;;;;;
225;0.1781 A DC;41:10.5;00:09.8;41:17.8;0.1869 A DC;0.1805 A DC;41:15.2;0.1759 A DC;Stable;41:20.3;;;669.3000001;0.1805;2.2382;0.000186517;0.1896;;;;;;;;;;
226;0.3205 A DC;41:20.3;00:00.1;41:20.3;0.3205 A DC;0.3205 A DC;41:20.3;0.3205 A DC;Stable;41:20.4;;;679.0999998;0.3205;3.9742;0.010818655;0.1896;;;;;;;;;;
227;0.1817 A DC;41:20.4;00:00.2;41:20.4;0.1817 A DC;0.1799 A DC;41:20.5;0.1780 A DC;Interval;41:20.6;;;679.1999999;0.1799;2.23076;6.19656E-05;0.1896;;;;;;;;;;
228;0.1774 A DC;41:20.6;00:09.8;41:29.9;0.1919 A DC;0.1805 A DC;41:20.6;0.1774 A DC;Stable;41:30.4;;;679.4;0.1805;2.2382;0.000124345;0.1896;;;;;;;;;;
229;0.8056 A DC;41:30.4;00:00.1;41:30.4;0.8056 A DC;0.8056 A DC;41:30.4;0.8056 A DC;Stable;41:30.5;;;689.1999997;0.8056;9.98944;0.027193475;0.1896;;;;;;;;;;
230;0.2653 A DC;41:30.5;00:00.1;41:30.5;0.2653 A DC;0.2653 A DC;41:30.5;0.2653 A DC;Interval;41:30.6;;;689.2999998;0.2653;3.28972;9.13812E-05;0.1896;;;;;;;;;;
231;0.1817 A DC;41:30.6;00:10.0;41:32.1;0.1903 A DC;0.1805 A DC;41:32.3;0.1772 A DC;Interval;41:40.5;;;689.3999998;0.1805;2.2382;6.21723E-05;0.1896;;;;;;;;;;
232;0.6518 A DC;41:40.5;00:00.2;41:40.5;0.6518 A DC;0.4260 A DC;41:40.6;0.2001 A DC;Stable;41:40.7;;;699.2999996;0.426;5.2824;0.0145266;0.1896;;;;;;;;;;
233;0.1808 A DC;41:40.7;00:09.9;41:40.8;0.1860 A DC;0.1803 A DC;41:45.6;0.1769 A DC;Interval;41:50.6;;;699.4999998;0.1803;2.23572;0.000124207;0.1896;;;;;;;;;;
234;0.2611 A DC;41:50.6;00:00.2;41:50.7;0.3041 A DC;0.2826 A DC;41:50.6;0.2611 A DC;Stable;41:50.8;;;709.3999995;0.2826;3.50424;0.00963666;0.1896;;;;;;;;;;
235;0.1888 A DC;41:50.8;00:04.9;41:50.8;0.1888 A DC;0.1804 A DC;41:55.6;0.1775 A DC;Stable;41:55.7;;;709.5999997;0.1804;2.23696;0.000124276;0.1896;;;;;;;;;;
236;0.2097 A DC;41:55.7;00:00.1;41:55.7;0.2097 A DC;0.2097 A DC;41:55.7;0.2097 A DC;Stable;41:55.8;;;714.4999995;0.2097;2.60028;0.00353927;0.1896;;;;;;;;;;
237;0.1830 A DC;41:55.8;00:04.7;41:58.8;0.1842 A DC;0.1802 A DC;41:56.0;0.1780 A DC;Interval;42:00.5;;;714.5999996;0.1802;2.23448;6.20689E-05;0.1896;;;;;;;;;;
238;0.1779 A DC;42:00.5;00:05.2;42:03.1;0.1887 A DC;0.1810 A DC;42:00.5;0.1779 A DC;Stable;42:05.8;;;719.2999999;0.181;2.2444;0.002930189;0.1896;;;;;;;;;;
239;0.6623 A DC;42:05.8;00:00.2;42:05.8;0.6623 A DC;0.4414 A DC;42:05.9;0.2205 A DC;Stable;42:06.0;;;724.6;0.4414;5.47336;0.008058002;0.1896;;;;;;;;;;
240;0.1789 A DC;42:06.0;00:04.6;42:09.8;0.1863 A DC;0.1799 A DC;42:07.0;0.1774 A DC;Interval;42:10.6;;;724.7999996;0.1799;2.23076;0.000123931;0.1896;;;;;;;;;;
241;0.1817 A DC;42:10.6;00:05.3;42:10.8;0.1860 A DC;0.1804 A DC;42:12.2;0.1774 A DC;Stable;42:15.9;;;729.3999998;0.1804;2.23696;0.002858338;0.1896;;;;;;;;;;
242;0.6338 A DC;42:15.9;00:00.1;42:15.9;0.6338 A DC;0.6338 A DC;42:15.9;0.6338 A DC;Stable;42:16.0;;;734.6999999;0.6338;7.85912;0.011570371;0.1896;;;;;;;;;;
243;0.1967 A DC;42:16.0;00:04.5;42:16.0;0.1967 A DC;0.1807 A DC;42:18.1;0.1775 A DC;Interval;42:20.6;;;734.8;0.1807;2.24068;6.22412E-05;0.1896;;;;;;;;;;
244;0.1796 A DC;42:20.6;00:00.5;42:21.0;0.2464 A DC;0.1941 A DC;42:20.9;0.1795 A DC;Stable;42:21.1;;;739.3999996;0.1941;2.40684;0.003075406;0.1896;;;;;;;;;;
245;0.1853 A DC;42:21.1;00:04.9;42:24.1;0.1929 A DC;0.1802 A DC;42:23.7;0.1778 A DC;Stable;42:26.0;;;739.9;0.1802;2.23448;0.000310345;0.1896;;;;;;;;;;
