Reading;Sample;Start Time;Duration;Max Time;Max;Average;Min Time;Min;Description;Stop Time;Max;;Tiempo (s);Is(A);Ps (W);Wh;<Is> (A);;;;;;;;;;
27;0.1871 A DC;31:30.6;00:02.6;31:33.1;0.2041 A DC;0.1889 A DC;31:33.0;0.1841 A DC;Stable;31:33.2;;;89.39999978;0.1889;2.34236;0.004749786;0.1896;;;;;;;;;;
28;0.6697 A DC;31:33.2;00:00.2;31:33.2;0.6697 A DC;0.4389 A DC;31:33.3;0.2080 A DC;Stable;31:33.4;;;91.9999995;0.4389;5.44236;0.003930593;0.1896;;;;;;;;;;
29;0.1887 A DC;31:33.4;00:07.1;31:39.7;0.1929 A DC;0.1876 A DC;31:34.2;0.1826 A DC;Interval;31:40.6;;;92.19999968;0.1876;2.32624;0.000129236;0.1896;;;;;;;;;;
30;0.1874 A DC;31:40.6;00:02.7;31:40.7;0.1907 A DC;0.1883 A DC;31:41.1;0.1872 A DC;Stable;31:43.3;;;99.3999996;0.1883;2.33492;0.00466984;0.1896;;;;;;;;;;
31;0.2867 A DC;31:43.3;00:00.2;31:43.4;0.3820 A DC;0.3344 A DC;31:43.3;0.2867 A DC;Stable;31:43.5;;;102.1;0.3344;4.14656;0.003109921;0.1896;;;;;;;;;;
32;0.1940 A DC;31:43.5;00:07.0;31:43.5;0.1940 A DC;0.1873 A DC;31:48.8;0.1830 A DC;Interval;31:50.5;;;102.2999996;0.1873;2.32252;0.000129029;0.1896;;;;;;;;;;
33;0.1915 A DC;31:50.5;00:02.9;31:50.5;0.1915 A DC;0.1878 A DC;31:52.2;0.1864 A DC;Stable;31:53.4;;;109.3;0.1878;2.32872;0.004528067;0.1896;;;;;;;;;;
34;0.7194 A DC;31:53.4;00:00.2;31:53.4;0.7194 A DC;0.4915 A DC;31:53.5;0.2635 A DC;Stable;31:53.6;;;112.2;0.4915;6.0946;0.004909539;0.1896;;;;;;;;;;
35;0.1887 A DC;31:53.6;00:06.9;31:58.6;0.1965 A DC;0.1872 A DC;31:54.4;0.1838 A DC;Interval;32:00.6;;;112.3999995;0.1872;2.32128;0.00012896;0.1896;;;;;;;;;;
36;0.1851 A DC;32:00.6;00:08.0;32:03.2;0.1973 A DC;0.1876 A DC;32:04.7;0.1827 A DC;Stable;32:08.6;;;119.3999999;0.1876;2.32624;0.004523245;0.1896;;;;;;;;;;
37;0.6644 A DC;32:08.6;00:00.2;32:08.6;0.6644 A DC;0.4375 A DC;32:08.7;0.2105 A DC;Stable;32:08.8;;;127.3999999;0.4375;5.425;0.012055556;0.1896;;;;;;;;;;
38;0.1899 A DC;32:08.8;00:01.7;32:08.8;0.1899 A DC;0.1874 A DC;32:10.0;0.1864 A DC;Interval;32:10.5;;;127.6;0.1874;2.32376;0.000129098;0.1896;;;;;;;;;;
39;0.1869 A DC;32:10.5;00:03.0;32:13.4;0.1892 A DC;0.1876 A DC;32:11.5;0.1831 A DC;Stable;32:13.6;;;129.2999996;0.1876;2.32624;0.001098502;0.1896;;;;;;;;;;
